scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,status
guo_vdsse,exp1,1,1,0.006417,21,ok
guo_vdsse,exp1,1,2,0.005920,21,ok
guo_vdsse,exp1,1,3,0.008829,21,ok
guo_vdsse,exp1,1,4,0.006885,21,ok
guo_vdsse,exp1,1,5,0.006528,21,ok
guo_vdsse,exp1,1,6,0.006495,21,ok
guo_vdsse,exp1,1,7,0.006286,21,ok
guo_vdsse,exp1,1,8,0.005863,21,ok
guo_vdsse,exp1,1,9,0.005636,21,ok
guo_vdsse,exp1,1,10,0.005550,21,ok
guo_vdsse,exp1,2,1,0.006395,21,ok
guo_vdsse,exp1,2,2,0.006589,21,ok
guo_vdsse,exp1,2,3,0.006945,21,ok
guo_vdsse,exp1,2,4,0.006329,21,ok
guo_vdsse,exp1,2,5,0.006743,21,ok
guo_vdsse,exp1,2,6,0.006306,21,ok
guo_vdsse,exp1,2,7,0.006511,21,ok
guo_vdsse,exp1,2,8,0.006485,21,ok
guo_vdsse,exp1,2,9,0.006157,21,ok
guo_vdsse,exp1,2,10,0.006391,21,ok
guo_vdsse,exp1,3,1,0.007665,21,ok
guo_vdsse,exp1,3,2,0.006952,21,ok
guo_vdsse,exp1,3,3,0.007039,21,ok
guo_vdsse,exp1,3,4,0.007078,21,ok
guo_vdsse,exp1,3,5,0.006879,21,ok
guo_vdsse,exp1,3,6,0.007330,21,ok
guo_vdsse,exp1,3,7,0.006415,21,ok
guo_vdsse,exp1,3,8,0.007282,21,ok
guo_vdsse,exp1,3,9,0.006784,21,ok
guo_vdsse,exp1,3,10,0.007059,21,ok
guo_vdsse,exp1,4,1,0.008201,21,ok
guo_vdsse,exp1,4,2,0.007254,21,ok
guo_vdsse,exp1,4,3,0.007621,21,ok
guo_vdsse,exp1,4,4,0.008277,21,ok
guo_vdsse,exp1,4,5,0.008187,21,ok
guo_vdsse,exp1,4,6,0.008618,21,ok
guo_vdsse,exp1,4,7,0.006980,21,ok
guo_vdsse,exp1,4,8,0.007095,21,ok
guo_vdsse,exp1,4,9,0.007563,21,ok
guo_vdsse,exp1,4,10,0.007293,21,ok
guo_vdsse,exp1,5,1,0.008128,21,ok
