variable_value,primary_mean,primary_ci95,trapdoor_size_bytes_mean,trapdoor_size_bytes_ci95,n_runs
1,0.004258,0.000967,21.0,0.0,5
2,0.003658,0.000118,21.0,0.0,5
3,0.003867,0.000265,21.0,0.0,5
4,0.004175,0.000223,21.0,0.0,5
5,0.004492,0.000218,21.0,0.0,5
6,0.004325,0.000322,21.0,0.0,5
7,0.004391,0.000295,21.0,0.0,5
8,0.004458,0.00024,21.0,0.0,5
9,0.0048,0.000296,21.0,0.0,5
10,0.005017,0.000308,21.0,0.0,5
11,0.005175,0.000501,21.0,0.0,5
12,0.004983,0.000266,21.0,0.0,5
13,0.005183,0.00029,21.0,0.0,5
14,0.005383,0.000366,21.0,0.0,5
15,0.005375,0.000371,21.0,0.0,5
16,0.005542,0.000467,21.0,0.0,5
17,0.005567,0.000181,21.0,0.0,5
18,0.005642,0.000199,21.0,0.0,5
19,0.00575,0.000499,21.0,0.0,5
20,0.0059,0.00014,21.0,0.0,5
