scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
guo_vdsse,exp3,2,1,0.003709,2,0,ok
guo_vdsse,exp3,2,2,7.757917,2,0,ok
guo_vdsse,exp3,2,3,0.004666,2,0,ok
guo_vdsse,exp3,3,1,0.003375,3,0,ok
guo_vdsse,exp3,3,2,0.002583,3,0,ok
guo_vdsse,exp3,3,3,4.975042,3,0,ok
guo_vdsse,exp3,4,1,0.003542,4,0,ok
guo_vdsse,exp3,4,2,0.002875,4,0,ok
guo_vdsse,exp3,4,3,0.004083,4,0,ok
guo_vdsse,exp3,5,1,0.003834,5,0,ok
guo_vdsse,exp3,5,2,0.003416,5,0,ok
guo_vdsse,exp3,5,3,0.004417,5,0,ok
guo_vdsse,exp3,6,1,0.004250,6,0,ok
guo_vdsse,exp3,6,2,0.003833,6,0,ok
guo_vdsse,exp3,6,3,0.004708,6,0,ok
guo_vdsse,exp3,7,1,0.004750,7,0,ok
guo_vdsse,exp3,7,2,0.011916,7,0,ok
guo_vdsse,exp3,7,3,0.005292,7,0,ok
guo_vdsse,exp3,8,1,0.005333,8,0,ok
guo_vdsse,exp3,8,2,0.004791,8,0,ok
guo_vdsse,exp3,8,3,0.005792,8,0,ok
guo_vdsse,exp3,9,1,0.005583,9,0,ok
guo_vdsse,exp3,9,2,0.005209,9,0,ok
guo_vdsse,exp3,9,3,0.006125,9,0,ok
guo_vdsse,exp3,10,1,0.006291,10,0,ok
guo_vdsse,exp3,10,2,0.005917,10,0,ok
guo_vdsse,exp3,10,3,0.006250,10,0,ok
