scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
guo_vdsse,exp4,10,1,0.061852,0.03125,10,ok
guo_vdsse,exp4,10,2,0.061234,0.03125,10,ok
guo_vdsse,exp4,10,3,0.062209,0.03125,10,ok
guo_vdsse,exp4,10,4,0.061944,0.03125,10,ok
guo_vdsse,exp4,10,5,0.061350,0.03125,10,ok
guo_vdsse,exp4,10,6,0.061020,0.03125,10,ok
guo_vdsse,exp4,10,7,0.060144,0.03125,10,ok
guo_vdsse,exp4,10,8,0.061208,0.03125,10,ok
guo_vdsse,exp4,10,9,0.060610,0.03125,10,ok
guo_vdsse,exp4,10,10,0.071911,0.03125,10,ok
guo_vdsse,exp4,20,1,0.110366,0.03125,20,ok
guo_vdsse,exp4,20,2,0.111032,0.03125,20,ok
guo_vdsse,exp4,20,3,0.110453,0.03125,20,ok
guo_vdsse,exp4,20,4,0.131811,0.03125,20,ok
guo_vdsse,exp4,20,5,0.110482,0.03125,20,ok
guo_vdsse,exp4,20,6,0.110706,0.03125,20,ok
guo_vdsse,exp4,20,7,0.110242,0.03125,20,ok
guo_vdsse,exp4,20,8,0.110177,0.03125,20,ok
guo_vdsse,exp4,20,9,0.110740,0.03125,20,ok
guo_vdsse,exp4,20,10,0.110256,0.03125,20,ok
guo_vdsse,exp4,50,1,0.262107,0.03125,50,ok
guo_vdsse,exp4,50,2,0.261489,0.03125,50,ok
guo_vdsse,exp4,50,3,0.261579,0.03125,50,ok
guo_vdsse,exp4,50,4,0.274288,0.03125,50,ok
guo_vdsse,exp4,50,5,0.261912,0.03125,50,ok
guo_vdsse,exp4,50,6,0.260618,0.03125,50,ok
guo_vdsse,exp4,50,7,0.267472,0.03125,50,ok
guo_vdsse,exp4,50,8,0.271554,0.03125,50,ok
guo_vdsse,exp4,50,9,0.260631,0.03125,50,ok
guo_vdsse,exp4,50,10,0.260522,0.03125,50,ok
guo_vdsse,exp4,100,1,0.510314,0.03125,100,ok
guo_vdsse,exp4,100,2,0.533865,0.03125,100,ok
guo_vdsse,exp4,100,3,0.515830,0.03125,100,ok
guo_vdsse,exp4,100,4,0.524896,0.03125,100,ok
guo_vdsse,exp4,100,5,0.515528,0.03125,100,ok
guo_vdsse,exp4,100,6,0.528649,0.03125,100,ok
guo_vdsse,exp4,100,7,0.533966,0.03125,100,ok
guo_vdsse,exp4,100,8,0.518842,0.03125,100,ok
guo_vdsse,exp4,100,9,0.534460,0.03125,100,ok
guo_vdsse,exp4,100,10,0.519484,0.03125,100,ok
guo_vdsse,exp4,200,1,1.075910,0.03125,203,ok
guo_vdsse,exp4,200,2,1.067315,0.03125,203,ok
guo_vdsse,exp4,200,3,1.056578,0.03125,203,ok
guo_vdsse,exp4,200,4,1.047742,0.03125,203,ok
guo_vdsse,exp4,200,5,1.041136,0.03125,203,ok
guo_vdsse,exp4,200,6,1.058407,0.03125,203,ok
guo_vdsse,exp4,200,7,1.041665,0.03125,203,ok
guo_vdsse,exp4,200,8,1.047790,0.03125,203,ok
guo_vdsse,exp4,200,9,1.056407,0.03125,203,ok
guo_vdsse,exp4,200,10,1.056383,0.03125,203,ok
guo_vdsse,exp4,500,1,2.556782,0.03125,501,ok
guo_vdsse,exp4,500,2,2.562112,0.03125,501,ok
guo_vdsse,exp4,500,3,2.575907,0.03125,501,ok
guo_vdsse,exp4,500,4,2.560098,0.03125,501,ok
guo_vdsse,exp4,500,5,2.578421,0.03125,501,ok
guo_vdsse,exp4,500,6,2.566767,0.03125,501,ok
guo_vdsse,exp4,500,7,2.564109,0.03125,501,ok
guo_vdsse,exp4,500,8,2.565516,0.03125,501,ok
guo_vdsse,exp4,500,9,2.569275,0.03125,501,ok
guo_vdsse,exp4,500,10,2.569590,0.03125,501,ok
guo_vdsse,exp4,1000,1,5.202381,0.03125,1013,ok
guo_vdsse,exp4,1000,2,5.173360,0.03125,1013,ok
guo_vdsse,exp4,1000,3,5.196138,0.03125,1013,ok
guo_vdsse,exp4,1000,4,5.202485,0.03125,1013,ok
guo_vdsse,exp4,1000,5,5.191814,0.03125,1013,ok
guo_vdsse,exp4,1000,6,5.201589,0.03125,1013,ok
guo_vdsse,exp4,1000,7,5.177742,0.03125,1013,ok
guo_vdsse,exp4,1000,8,5.186554,0.03125,1013,ok
guo_vdsse,exp4,1000,9,5.172399,0.03125,1013,ok
guo_vdsse,exp4,1000,10,5.245677,0.03125,1013,ok
