scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
guo_vdsse,exp9,1,1,19975.000000,0.0,0.0,101.849561,ok
guo_vdsse,exp9,1,2,19975.000000,0.0,0.0,102.031676,ok
guo_vdsse,exp9,1,3,19975.000000,0.0,0.0,102.111237,ok
guo_vdsse,exp9,1,4,19975.000000,0.0,0.0,102.170183,ok
guo_vdsse,exp9,1,5,19975.000000,0.0,0.0,102.141231,ok
guo_vdsse,exp9,1,6,19975.000000,0.0,0.0,102.192836,ok
guo_vdsse,exp9,1,7,19975.000000,0.0,0.0,102.601544,ok
guo_vdsse,exp9,1,8,19975.000000,0.0,0.0,102.583278,ok
guo_vdsse,exp9,1,9,19975.000000,0.0,0.0,103.091657,ok
guo_vdsse,exp9,1,10,19975.000000,0.0,0.0,104.738548,ok
guo_vdsse,exp9,2,1,19975.000000,0.0,0.0,102.41844,ok
guo_vdsse,exp9,2,2,19975.000000,0.0,0.0,102.664843,ok
guo_vdsse,exp9,2,3,19975.000000,0.0,0.0,102.04773,ok
guo_vdsse,exp9,2,4,19975.000000,0.0,0.0,103.427184,ok
guo_vdsse,exp9,2,5,19975.000000,0.0,0.0,102.180626,ok
guo_vdsse,exp9,2,6,19975.000000,0.0,0.0,102.48484,ok
guo_vdsse,exp9,2,7,19975.000000,0.0,0.0,101.895178,ok
guo_vdsse,exp9,2,8,19975.000000,0.0,0.0,101.955533,ok
guo_vdsse,exp9,2,9,19975.000000,0.0,0.0,102.034646,ok
guo_vdsse,exp9,2,10,19975.000000,0.0,0.0,102.327917,ok
guo_vdsse,exp9,5,1,19975.000000,0.0,0.0,102.2642,ok
guo_vdsse,exp9,5,2,19975.000000,0.0,0.0,103.258395,ok
guo_vdsse,exp9,5,3,19975.000000,0.0,0.0,102.534326,ok
guo_vdsse,exp9,5,4,19975.000000,0.0,0.0,102.805018,ok
guo_vdsse,exp9,5,5,19975.000000,0.0,0.0,101.926471,ok
guo_vdsse,exp9,5,6,19975.000000,0.0,0.0,102.276464,ok
guo_vdsse,exp9,5,7,19975.000000,0.0,0.0,102.13905,ok
guo_vdsse,exp9,5,8,19975.000000,0.0,0.0,102.227872,ok
guo_vdsse,exp9,5,9,19975.000000,0.0,0.0,102.062101,ok
guo_vdsse,exp9,5,10,19975.000000,0.0,0.0,101.940539,ok
