variable_value,primary_mean,primary_ci95,usable_recovered_mean,usable_recovered_ci95,tampered_localised_mean,tampered_localised_ci95,latency_ms_mean,latency_ms_ci95,n_runs
1,19975.0,0.0,0.0,0.0,0.0,0.0,102.551175,0.606888,10
2,19975.0,0.0,0.0,0.0,0.0,0.0,102.343694,0.325588,10
5,19975.0,0.0,0.0,0.0,0.0,0.0,102.343444,0.298578,10
10,19975.0,0.0,0.0,0.0,0.0,0.0,102.019152,0.224057,10
20,19975.0,0.0,0.0,0.0,0.0,0.0,102.013619,0.117274,10
50,19975.0,0.0,0.0,0.0,0.0,0.0,102.611865,0.313428,10
100,19975.0,0.0,0.0,0.0,0.0,0.0,102.286029,0.333139,10
200,19975.0,0.0,0.0,0.0,0.0,0.0,102.309261,0.258665,10
500,19975.0,0.0,0.0,0.0,0.0,0.0,102.331336,0.633529,10
1000,19975.0,0.0,0.0,0.0,0.0,0.0,102.347819,0.406673,10
