scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
guo_vdsse,exp5,100,1,60.117322,104,3287103,ok
guo_vdsse,exp5,100,2,59.920769,104,3287203,ok
guo_vdsse,exp5,100,3,59.467688,104,3287303,ok
guo_vdsse,exp5,100,4,59.325028,104,3287403,ok
guo_vdsse,exp5,100,5,59.386374,104,3287503,ok
guo_vdsse,exp5,100,6,59.572925,104,3287603,ok
guo_vdsse,exp5,100,7,59.495893,104,3287703,ok
guo_vdsse,exp5,100,8,59.414775,104,3287803,ok
guo_vdsse,exp5,100,9,59.440405,104,3287903,ok
guo_vdsse,exp5,100,10,59.513809,104,3288003,ok
guo_vdsse,exp5,200,1,119.232206,207,3289106,ok
guo_vdsse,exp5,200,2,119.158621,207,3289306,ok
guo_vdsse,exp5,200,3,118.781498,207,3289506,ok
guo_vdsse,exp5,200,4,119.050856,207,3289706,ok
guo_vdsse,exp5,200,5,118.996842,207,3289906,ok
guo_vdsse,exp5,200,6,119.012290,207,3290106,ok
guo_vdsse,exp5,200,7,119.200901,207,3290306,ok
guo_vdsse,exp5,200,8,119.190870,207,3290506,ok
guo_vdsse,exp5,200,9,118.719347,207,3290706,ok
guo_vdsse,exp5,200,10,119.255739,207,3290906,ok
guo_vdsse,exp5,500,1,298.694407,517,3293616,ok
guo_vdsse,exp5,500,2,298.175924,517,3294116,ok
guo_vdsse,exp5,500,3,298.680538,517,3294616,ok
guo_vdsse,exp5,500,4,304.252812,517,3295116,ok
guo_vdsse,exp5,500,5,299.383223,517,3295616,ok
guo_vdsse,exp5,500,6,298.347673,517,3296116,ok
guo_vdsse,exp5,500,7,298.465238,517,3296616,ok
guo_vdsse,exp5,500,8,297.040965,517,3297116,ok
guo_vdsse,exp5,500,9,298.199158,517,3297616,ok
guo_vdsse,exp5,500,10,298.181183,517,3298116,ok
guo_vdsse,exp5,1000,1,594.837969,1033,3303632,ok
guo_vdsse,exp5,1000,2,595.867565,1033,3304632,ok
guo_vdsse,exp5,1000,3,597.818892,1033,3305632,ok
guo_vdsse,exp5,1000,4,595.642085,1033,3306632,ok
guo_vdsse,exp5,1000,5,594.859522,1033,3307632,ok
guo_vdsse,exp5,1000,6,601.783363,1033,3308632,ok
guo_vdsse,exp5,1000,7,595.981339,1033,3309632,ok
guo_vdsse,exp5,1000,8,595.721858,1033,3310632,ok
guo_vdsse,exp5,1000,9,595.609986,1033,3311632,ok
guo_vdsse,exp5,1000,10,596.242733,1033,3312632,ok
guo_vdsse,exp5,2000,1,1194.242227,2065,3323664,ok
guo_vdsse,exp5,2000,2,1192.312085,2065,3325664,ok
guo_vdsse,exp5,2000,3,1191.475773,2065,3327664,ok
guo_vdsse,exp5,2000,4,1187.893959,2065,3329664,ok
guo_vdsse,exp5,2000,5,1189.619365,2065,3331664,ok
guo_vdsse,exp5,2000,6,1189.975090,2065,3333664,ok
guo_vdsse,exp5,2000,7,1190.762838,2065,3335664,ok
guo_vdsse,exp5,2000,8,1187.444666,2065,3337664,ok
guo_vdsse,exp5,2000,9,1189.699576,2065,3339664,ok
guo_vdsse,exp5,2000,10,1189.806537,2065,3341664,ok
guo_vdsse,exp5,5000,1,2979.071947,5162,3368761,ok
guo_vdsse,exp5,5000,2,2980.434906,5162,3373761,ok
guo_vdsse,exp5,5000,3,2972.914400,5162,3378761,ok
guo_vdsse,exp5,5000,4,2968.582565,5162,3383761,ok
guo_vdsse,exp5,5000,5,2981.429825,5162,3388761,ok
guo_vdsse,exp5,5000,6,2986.019831,5162,3393761,ok
guo_vdsse,exp5,5000,7,2985.451184,5162,3398761,ok
guo_vdsse,exp5,5000,8,2983.841857,5162,3403761,ok
guo_vdsse,exp5,5000,9,2976.292617,5162,3408761,ok
guo_vdsse,exp5,5000,10,2983.532377,5162,3413761,ok
guo_vdsse,exp5,10000,1,5967.645334,10323,3468922,ok
guo_vdsse,exp5,10000,2,5961.142674,10323,3478922,ok
guo_vdsse,exp5,10000,3,5973.681920,10323,3488922,ok
guo_vdsse,exp5,10000,4,5984.215409,10323,3498922,ok
guo_vdsse,exp5,10000,5,5970.313093,10323,3508922,ok
guo_vdsse,exp5,10000,6,5966.106478,10323,3518922,ok
guo_vdsse,exp5,10000,7,5962.867070,10323,3528922,ok
guo_vdsse,exp5,10000,8,5963.800679,10323,3538922,ok
guo_vdsse,exp5,10000,9,5967.089027,10323,3548922,ok
guo_vdsse,exp5,10000,10,5958.645200,10323,3558922,ok
guo_vdsse,exp5,20000,1,11928.013568,20646,3669245,ok
guo_vdsse,exp5,20000,2,11941.955653,20646,3689245,ok
guo_vdsse,exp5,20000,3,11934.067910,20646,3709245,ok
guo_vdsse,exp5,20000,4,11918.051333,20646,3729245,ok
guo_vdsse,exp5,20000,5,11929.361432,20646,3749245,ok
guo_vdsse,exp5,20000,6,11923.752148,20646,3769245,ok
guo_vdsse,exp5,20000,7,12500.089995,20646,3789245,ok
guo_vdsse,exp5,20000,8,12520.525018,20646,3809245,ok
guo_vdsse,exp5,20000,9,11919.937232,20646,3829245,ok
guo_vdsse,exp5,20000,10,11924.002469,20646,3849245,ok
guo_vdsse,exp5,50000,1,30361.496100,51613,4120212,ok
guo_vdsse,exp5,50000,2,30360.365857,51613,4170212,ok
guo_vdsse,exp5,50000,3,30337.117295,51613,4220212,ok
guo_vdsse,exp5,50000,4,30339.120837,51613,4270212,ok
guo_vdsse,exp5,50000,5,30335.820145,51613,4320212,ok
guo_vdsse,exp5,50000,6,30344.582623,51613,4370212,ok
guo_vdsse,exp5,50000,7,30351.388549,51613,4420212,ok
guo_vdsse,exp5,50000,8,30387.633515,51613,4470212,ok
