variable_value,primary_mean,primary_ci95,entries_rewritten_mean,entries_rewritten_ci95,index_entries_before_mean,index_entries_before_ci95,n_runs
100,60.297515,0.267339,104.0,0.0,3288553.0,328.724673,30
200,118.860167,0.17349,207.0,0.0,3294006.0,657.449346,30
500,298.229198,0.409236,517.0,0.0,3306866.0,1643.623366,30
1000,595.995607,0.673436,1033.0,0.0,3334132.0,3287.246732,30
2000,1193.099661,2.412351,2065.0,0.0,3388664.0,6574.493465,30
5000,2972.61505,4.535627,5162.0,0.0,3517261.0,16436.233662,30
10000,5953.721473,9.521731,10323.0,0.0,3789922.0,32872.467325,30
20000,11924.632481,14.163465,20646.0,0.0,4335245.0,65744.934649,30
50000,30273.030873,395.63554,51613.0,0.0,5621212.0,164362.336623,30
100000,60685.368213,597.422807,103226.0,0.0,8347825.0,328724.673246,30
