scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,exp1_trapdoor_generation,1,1,0.053793,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,2,0.054017,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,3,0.053533,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,4,0.053208,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,5,0.053416,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,6,0.053130,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,7,0.053104,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,8,0.052781,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,9,0.053194,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,1,10,0.070159,8.000000,1.000000,8.000000,256.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,1,0.267267,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,2,0.255647,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,3,0.257398,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,4,0.257188,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,5,0.270035,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,6,0.259435,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,7,0.255964,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,8,0.255019,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,9,0.265607,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,5,10,0.262841,40.000000,5.000000,8.000000,1280.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,1,0.507523,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,2,0.499903,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,3,0.504788,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,4,0.495063,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,5,0.503840,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,6,0.496492,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,7,0.505437,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,8,0.506126,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,9,0.505584,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,10,10,0.492424,80.000000,10.000000,8.000000,2560.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,1,0.755865,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,2,0.755074,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,3,0.752234,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,4,0.743134,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,5,0.748306,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,6,0.751635,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,7,0.765657,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,8,0.748601,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,9,0.756345,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,15,10,0.760466,120.000000,15.000000,8.000000,3840.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,1,1.004673,160.000000,20.000000,8.000000,5120.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,2,1.014240,160.000000,20.000000,8.000000,5120.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,3,0.993278,160.000000,20.000000,8.000000,5120.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,4,0.990253,160.000000,20.000000,8.000000,5120.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,5,0.997796,160.000000,20.000000,8.000000,5120.000000,ok
ma_lb_pq_vdse,exp1_trapdoor_generation,20,6,1.009094,160.000000,20.000000,8.000000,5120.000000,ok
