scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,1,37.541492,10.000000,2.000000,80.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,2,42.481246,10.000000,2.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,3,50.597000,10.000000,2.000000,40.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,4,50.363401,10.000000,2.000000,40.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,5,45.073670,10.000000,2.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,6,48.445127,10.000000,2.000000,60.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,7,45.845975,10.000000,2.000000,240.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,8,36.583214,10.000000,2.000000,380.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,9,50.424526,10.000000,2.000000,620.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,2,10,42.440139,10.000000,2.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,1,83.902492,20.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,2,106.982555,20.000000,4.000000,180.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,3,85.353501,20.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,4,94.312478,20.000000,4.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,5,79.597161,20.000000,4.000000,160.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,6,77.359902,20.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,7,83.198795,20.000000,4.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,8,92.959998,20.000000,4.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,9,108.444030,20.000000,4.000000,100.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,4,10,125.504077,20.000000,4.000000,2670.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,1,144.261597,30.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,2,169.543022,30.000000,4.000000,0.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,3,130.203653,30.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,4,177.560394,30.000000,4.000000,280.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,5,139.742656,30.000000,4.000000,60.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,6,192.578087,30.000000,4.000000,31650.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,7,155.061558,30.000000,4.000000,40.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,8,145.676059,30.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,9,128.192779,30.000000,4.000000,210.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,6,10,127.391438,30.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,1,193.862955,40.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,2,228.130919,40.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,3,230.870816,40.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,4,234.739877,40.000000,4.000000,30.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,5,177.086673,40.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,6,254.426128,40.000000,4.000000,340.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,7,191.268155,40.000000,4.000000,60.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,8,250.337910,40.000000,4.000000,42230.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,9,214.226707,40.000000,4.000000,40.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,8,10,188.684227,40.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,1,284.156635,50.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,2,318.396241,50.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,3,331.887142,50.000000,4.000000,30.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,4,322.540259,50.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,5,323.472362,50.000000,4.000000,10.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,6,319.867243,50.000000,4.000000,30.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,7,274.013779,50.000000,4.000000,20.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,8,353.231127,50.000000,4.000000,400.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,9,250.372403,50.000000,4.000000,70.000000,ok
ma_lb_pq_vdse,exp3_crossdomain_scalability,10,10,346.671835,50.000000,4.000000,54110.000000,ok
