variable_value,primary_mean,primary_ci95,usable_recovered_mean,usable_recovered_ci95,tampered_localised_mean,tampered_localised_ci95,latency_mean,latency_ci95,n_runs
1,1.000000,0.000000,19999.000000,0.000000,1.000000,0.000000,405.962920,1.198558,10
2,2.000000,0.000000,19998.000000,0.000000,2.000000,0.000000,407.663890,1.721582,10
5,5.000000,0.000000,19995.000000,0.000000,5.000000,0.000000,405.088566,1.845474,10
10,10.000000,0.000000,19990.000000,0.000000,10.000000,0.000000,407.993783,1.917275,10
20,20.000000,0.000000,19980.000000,0.000000,20.000000,0.000000,405.499532,1.421692,10
50,50.000000,0.000000,19950.000000,0.000000,50.000000,0.000000,408.699818,1.884596,10
100,100.000000,0.000000,19900.000000,0.000000,100.000000,0.000000,406.750763,1.650872,10
200,200.000000,0.000000,19800.000000,0.000000,200.000000,0.000000,413.033339,2.997959,10
500,500.000000,0.000000,19500.000000,0.000000,500.000000,0.000000,420.308969,1.556348,10
1000,1000.000000,0.000000,19000.000000,0.000000,1000.000000,0.000000,419.797137,0.938305,10
