scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,exp5_keyword_update,100,1,1.643548,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,2,1.653651,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,3,1.656575,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,4,1.636954,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,5,1.647444,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,6,1.650507,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,7,1.635320,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,8,1.658642,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,9,1.646287,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100,10,1.639850,111.000000,219.000000,3.000000,222.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,1,16.238174,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,2,16.228749,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,3,16.254811,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,4,16.285153,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,5,16.315559,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,6,16.303003,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,7,16.261624,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,8,16.360191,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,9,16.354757,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,1000,10,16.328122,1030.000000,2020.000000,40.000000,2060.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,1,157.066479,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,2,157.127338,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,3,156.997640,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,4,157.125796,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,5,157.232317,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,6,157.475387,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,7,157.699593,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,8,157.930069,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,9,157.761231,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,10000,10,157.916192,10005.000000,19658.000000,352.000000,20010.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,1,1526.532622,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,2,1528.206895,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,3,1529.613322,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,4,1530.712155,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,5,1535.235400,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,6,1533.788380,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,7,1533.744777,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,8,1534.134459,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,9,1534.433156,100024.000000,197056.000000,2992.000000,200048.000000,ok
ma_lb_pq_vdse,exp5_keyword_update,100000,10,1537.481689,100024.000000,197056.000000,2992.000000,200048.000000,ok
