scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,exp6_authorization_sync,0.1,1,1416.708055,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,2,1414.004570,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,3,1408.782335,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,4,1415.127450,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,5,1406.846531,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,6,1409.301482,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,7,1413.065990,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,8,1410.217962,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,9,1412.094314,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,10,1411.859867,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,1,1416.694765,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,2,1409.569476,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,3,1415.658961,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,4,1411.220237,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,5,1411.527979,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,6,1414.233376,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,7,1416.137058,8000.000000,47766.000000,26928.664062,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,8,1413.383637,8000.000000,47766.000000,26928.664062,4.000000,ok
