scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp6_authorization_sync,100,1,35.805449,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,2,35.798929,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,3,35.866480,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,4,35.760859,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,5,35.778623,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,6,35.807400,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,7,35.810406,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,8,35.807045,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,9,35.819437,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100,10,35.820705,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,1,361.193860,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,2,361.308267,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,3,360.047661,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,4,360.160071,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,5,360.379960,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,6,360.303183,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,7,360.117457,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,8,360.598987,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,9,360.037491,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,1000,10,360.543455,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,1,3635.929647,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,2,3637.108312,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,3,3636.630118,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,4,3623.144082,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,5,3618.755460,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,6,3612.931858,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,7,3612.268571,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,8,3612.812114,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,9,3610.930475,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,10000,10,3610.283044,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,1,36256.663415,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,2,36226.616095,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,3,36308.791164,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,4,36249.398660,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,5,36289.031197,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,6,36004.641784,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,7,36011.836869,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,8,35998.233227,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,9,36024.570325,0.204102,1.000000,0.204102,ok
ma_lb_pq_vdse,exp6_authorization_sync,100000,10,35996.164295,0.204102,1.000000,0.204102,ok
