scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,exp6_authorization_sync,0.1,1,157.270483,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,2,157.469836,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,3,158.447805,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,4,157.549267,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,5,157.797291,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,6,157.286888,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,7,157.468948,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,8,157.761501,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,9,158.498928,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.1,10,157.310190,862.000000,5133.000000,2895.402344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,1,356.449369,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,2,358.341739,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,3,356.620495,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,4,356.418259,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,5,356.408116,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,6,357.026436,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,7,357.346493,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,8,359.064393,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,9,359.001128,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.25,10,355.927184,2000.000000,11911.000000,6718.527344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,1,706.066023,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,2,706.410751,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,3,708.189563,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,4,712.688926,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,5,708.812351,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,6,706.111507,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,7,706.660971,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,8,707.778927,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,9,708.324841,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.5,10,708.419462,4000.000000,23863.000000,13455.152344,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,1,1056.680893,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,2,1060.981863,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,3,1060.414945,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,4,1058.596674,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,5,1058.432208,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,6,1059.397257,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,7,1060.290648,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,8,1064.489863,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,9,1063.391658,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,0.75,10,1058.514457,6000.000000,35809.000000,20189.128906,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,1,1415.602002,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,2,1408.883507,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,3,1407.832800,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,4,1408.112373,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,5,1408.580823,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,6,1408.432532,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,7,1409.813931,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,8,1410.791885,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,9,1411.270361,8000.000000,47766.000000,26927.960938,4.000000,ok
ma_lb_pq_vdse,exp6_authorization_sync,1.0,10,1410.814225,8000.000000,47766.000000,26927.960938,4.000000,ok
