arm,note,concurrency,n,lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_mean,throughput_ci95,utilization_stddev_mean,utilization_stddev_ci95,max_queue_depth_mean,max_queue_depth_ci95
A_adopted,the reported vector,100,10,0.2,0.4,0.1,0.2,0.1,1921.502175,74.194855,0.128027,0.026524,28.0,5.213333
B_lambda1_ctrl,"same direction, λ1=0",100,10,0.0,0.5,0.125,0.25,0.125,2007.276691,82.698067,0.130192,0.02382,26.2,5.393452
C_uniform,neutral prior,100,10,0.2,0.2,0.2,0.2,0.2,1788.146369,75.037801,0.139224,0.015494,33.7,2.921406
D_index_heavy,simplex corner,100,10,0.2,0.65,0.05,0.05,0.05,2052.41438,64.233036,0.148757,0.014828,26.4,3.727796
E_verify_heavy,simplex corner,100,10,0.2,0.05,0.65,0.05,0.05,1657.433479,65.862566,0.204922,0.010758,44.3,4.852373
F_sync_heavy,simplex corner,100,10,0.2,0.05,0.05,0.65,0.05,1864.123398,66.749073,0.12224,0.015342,33.4,3.697164
G_queue_heavy,simplex corner,100,10,0.2,0.05,0.05,0.05,0.65,1606.336543,182.811273,0.177119,0.051022,37.9,6.185528
H_index_queue,two-term mix,100,10,0.2,0.35,0.05,0.05,0.35,1850.742272,123.155823,0.117767,0.044909,26.0,4.511729
I_index_sync,two-term mix,100,10,0.2,0.35,0.05,0.35,0.05,2017.973807,57.710806,0.149915,0.024899,27.7,3.389883
J_verify_queue,two-term mix,100,10,0.2,0.05,0.35,0.05,0.35,1640.926873,85.117129,0.173578,0.029791,38.8,6.030534
K_anti_adopted,adopted ordering reversed,100,10,0.2,0.1,0.2,0.1,0.4,1744.818012,107.92098,0.14898,0.024528,29.1,2.24829
L_near_adopted,small local perturbation,100,10,0.2,0.35,0.15,0.2,0.1,2001.579646,59.707267,0.150134,0.018141,31.7,3.439835
A_adopted,the reported vector,5000,10,0.2,0.4,0.1,0.2,0.1,3192.707392,74.197367,0.086427,0.019855,757.1,136.87347
B_lambda1_ctrl,"same direction, λ1=0",5000,10,0.0,0.5,0.125,0.25,0.125,3204.667926,90.37423,0.0871,0.012922,744.2,139.675174
C_uniform,neutral prior,5000,10,0.2,0.2,0.2,0.2,0.2,3005.964456,87.723032,0.086288,0.023454,878.5,131.952381
D_index_heavy,simplex corner,5000,10,0.2,0.65,0.05,0.05,0.05,3327.076774,48.767459,0.114738,0.009522,679.9,114.207177
E_verify_heavy,simplex corner,5000,10,0.2,0.05,0.65,0.05,0.05,2525.728232,37.320396,0.209263,0.006177,1522.6,94.712222
F_sync_heavy,simplex corner,5000,10,0.2,0.05,0.05,0.65,0.05,2893.98128,140.455601,0.105502,0.025814,1084.3,231.088221
G_queue_heavy,simplex corner,5000,10,0.2,0.05,0.05,0.05,0.65,2500.395854,161.870543,0.136425,0.034809,1158.7,242.341
H_index_queue,two-term mix,5000,10,0.2,0.35,0.05,0.05,0.35,2795.312264,85.759527,0.102241,0.020615,934.6,114.384155
I_index_sync,two-term mix,5000,10,0.2,0.35,0.05,0.35,0.05,3120.718285,114.844265,0.092488,0.026383,707.7,251.15674
J_verify_queue,two-term mix,5000,10,0.2,0.05,0.35,0.05,0.35,2538.401375,75.893413,0.098562,0.024255,907.2,148.78002
K_anti_adopted,adopted ordering reversed,5000,10,0.2,0.1,0.2,0.1,0.4,2564.134978,90.643849,0.10502,0.024524,949.5,151.60701
L_near_adopted,small local perturbation,5000,10,0.2,0.35,0.15,0.2,0.1,3147.569478,46.209321,0.085091,0.011432,697.8,96.083437
