lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_queries_per_second,fsn_utilization_stddev
0.0,0.0,0.0,0.0,1.0,10081.3006,0.07812
0.0,0.0,0.0,0.1,0.9,10646.0332,0.080799
0.0,0.0,0.0,0.2,0.8,10448.764,0.083024
0.0,0.0,0.0,0.3,0.7,10570.4558,0.080212
0.0,0.0,0.0,0.4,0.6,10530.4903,0.081309
0.0,0.0,0.0,0.5,0.5,10748.5205,0.081806
0.0,0.0,0.0,0.6,0.4,10688.502,0.08008
0.0,0.0,0.0,0.7,0.3,10818.1613,0.084358
0.0,0.0,0.0,0.8,0.2,10802.1387,0.079629
0.0,0.0,0.0,0.9,0.1,10989.1982,0.084014
0.0,0.0,0.0,1.0,0.0,10829.8421,0.083076
0.0,0.0,0.1,0.0,0.9,10585.6041,0.070093
0.0,0.0,0.1,0.1,0.8,10505.0138,0.065371
0.0,0.0,0.1,0.2,0.7,10661.6776,0.063293
0.0,0.0,0.1,0.3,0.6,11119.426,0.070211
0.0,0.0,0.1,0.4,0.5,11083.3375,0.078157
0.0,0.0,0.1,0.5,0.4,10853.7223,0.082554
0.0,0.0,0.1,0.6,0.3,10769.7484,0.076144
0.0,0.0,0.1,0.7,0.2,10523.9252,0.06841
0.0,0.0,0.1,0.8,0.1,11039.8099,0.080077
0.0,0.0,0.1,0.9,0.0,11102.1085,0.078841
0.0,0.0,0.2,0.0,0.8,10342.6414,0.075045
0.0,0.0,0.2,0.1,0.7,11594.5941,0.075513
0.0,0.0,0.2,0.2,0.6,11122.1406,0.078471
0.0,0.0,0.2,0.3,0.5,10884.9437,0.064818
0.0,0.0,0.2,0.4,0.4,10630.5737,0.075398
0.0,0.0,0.2,0.5,0.3,11316.9386,0.075823
0.0,0.0,0.2,0.6,0.2,10848.6674,0.074671
0.0,0.0,0.2,0.7,0.1,11588.4188,0.064372
0.0,0.0,0.2,0.8,0.0,10459.2511,0.072579
0.0,0.0,0.3,0.0,0.7,11027.0689,0.071863
0.0,0.0,0.3,0.1,0.6,10700.1046,0.080599
0.0,0.0,0.3,0.2,0.5,10706.7596,0.076321
0.0,0.0,0.3,0.3,0.4,11146.2379,0.072372
0.0,0.0,0.3,0.4,0.3,10807.1913,0.064458
0.0,0.0,0.3,0.5,0.2,10813.5826,0.084332
0.0,0.0,0.3,0.6,0.1,10987.7492,0.068862
0.0,0.0,0.3,0.7,0.0,10900.5156,0.079211
0.0,0.0,0.4,0.0,0.6,11115.5573,0.073262
0.0,0.0,0.4,0.1,0.5,10331.6085,0.062258
