scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,exp7_search_throughput,100,1,8374.459607,0.048753,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,2,8801.317733,0.044534,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,3,8873.081396,0.045486,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,4,9341.629074,0.045878,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,5,9274.667230,0.038057,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,6,9371.539852,0.047895,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,7,9127.692030,0.044989,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,8,8874.073524,0.042609,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,9,9348.224057,0.048376,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,10,9668.876746,0.043444,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,11,9288.330875,0.036808,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,12,9014.677698,0.036628,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,13,8851.907586,0.041369,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,14,8857.741134,0.042369,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,15,9338.418787,0.051402,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,16,9370.230553,0.046465,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,17,9388.286479,0.045814,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,18,9278.933175,0.047147,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,19,8324.185747,0.044640,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,20,8617.106870,0.045313,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,21,9515.881435,0.042304,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,22,9219.506115,0.045329,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,23,8552.810569,0.041016,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,24,8981.710274,0.047808,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,25,8945.566407,0.057058,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,26,8838.447672,0.048269,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,27,9185.948585,0.044795,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,28,9383.969609,0.041154,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,29,8618.677640,0.041778,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,100,30,9182.537458,0.041676,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,1,11071.136926,0.027999,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,2,11192.455515,0.029087,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,3,11280.015557,0.030513,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,4,11967.183732,0.025137,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,5,11497.853684,0.030461,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,6,11517.894743,0.028850,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,7,11223.236229,0.030393,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,8,11631.579174,0.027831,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,9,12185.408546,0.026951,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,10,11909.628689,0.027482,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,11,11423.647119,0.028376,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,12,11042.964730,0.032890,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,13,11426.976092,0.029026,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,14,11606.047795,0.028791,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,15,11024.783869,0.031020,0.000000,ok
ma_lb_pq_vdse,exp7_search_throughput,1000,16,11491.653514,0.028747,0.000000,ok
