scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp8_load_balance,100,1,0.234669,0.961164,0.000000,58.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,2,0.224363,0.965532,0.000000,50.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,3,0.186358,0.970062,0.000000,30.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,4,0.192058,0.958069,0.000000,36.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,5,0.198385,0.958799,0.000000,45.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,6,0.182931,0.963137,0.000000,35.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,7,0.153523,0.963392,0.000000,35.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,8,0.170960,0.962634,0.000000,34.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,9,0.183574,0.966274,0.000000,41.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,10,0.169643,0.960587,0.000000,35.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,1,0.084245,0.970208,0.000000,81.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,2,0.084836,0.939881,0.000000,87.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,3,0.107443,0.968862,0.000000,75.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,4,0.112827,0.964825,0.000000,147.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,5,0.176084,0.967406,0.000000,133.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,6,0.166153,0.975546,0.000000,122.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,7,0.061112,0.952546,0.000000,75.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,8,0.156901,0.936617,0.000000,133.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,9,0.080186,0.967908,0.000000,92.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,10,0.133432,0.962228,0.000000,112.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,1,0.102390,0.958966,0.000000,209.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,2,0.108809,0.974955,0.000000,166.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,3,0.086506,0.972648,0.000000,107.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,4,0.128273,0.965649,0.000000,177.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,5,0.066644,0.945830,0.000000,114.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,6,0.053917,0.959340,0.000000,129.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,7,0.115594,0.971541,0.000000,202.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,8,0.079384,0.962175,0.000000,141.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,9,0.099831,0.973701,0.000000,167.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,10,0.061396,0.963400,0.000000,172.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,1,0.032434,0.954559,0.000000,361.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,2,0.080290,0.959216,0.000000,410.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,3,0.064226,0.936315,0.000000,325.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,4,0.080446,0.952130,0.000000,284.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,5,0.049324,0.956015,0.000000,243.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,6,0.086548,0.961130,0.000000,318.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,7,0.056011,0.935251,0.000000,372.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,8,0.082731,0.953511,0.000000,314.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,9,0.105474,0.956147,0.000000,393.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,10,0.089144,0.948850,0.000000,300.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,1,0.074896,0.963683,0.000000,646.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,2,0.089865,0.951347,0.000000,680.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,3,0.044883,0.950962,0.000000,631.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,4,0.026091,0.942103,0.000000,467.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,5,0.063543,0.934178,0.000000,500.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,6,0.070111,0.954819,0.000000,495.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,7,0.040475,0.927168,0.000000,608.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,8,0.069832,0.939839,0.000000,729.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,9,0.063944,0.934352,0.000000,555.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,10,0.067757,0.961901,0.000000,490.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,1,0.021169,0.927831,0.000000,830.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,2,0.030826,0.932011,0.000000,995.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,3,0.048158,0.923817,0.000000,1069.000000,ok
