scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp8_load_balance,100,1,0.042962,0.971252,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,2,0.048039,0.945746,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,3,0.058820,0.967353,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,4,0.036715,0.962164,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,5,0.058425,0.968968,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,6,0.056575,0.974997,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,7,0.040359,0.971890,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,8,0.024148,0.938127,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,9,0.039423,0.964880,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,10,0.034482,0.935172,240.000000,25.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,1,0.036549,0.964607,1212.000000,124.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,2,0.038511,0.966197,1134.000000,116.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,3,0.018073,0.967025,1138.000000,113.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,4,0.034807,0.965320,1160.000000,115.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,5,0.043724,0.958333,1142.000000,110.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,6,0.020638,0.971844,1088.000000,112.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,7,0.032306,0.976278,1070.000000,110.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,8,0.019859,0.965869,1102.000000,118.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,9,0.025801,0.974389,1116.000000,119.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,10,0.029221,0.971973,1150.000000,118.000000,ok
