scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp8_load_balance,100,1,0.361614,0.969683,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,2,0.362549,0.972240,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,3,0.362837,0.971809,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,4,0.376416,0.974171,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,5,0.361661,0.970554,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,6,0.361921,0.970557,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,7,0.362188,0.971241,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,8,0.362376,0.971171,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,9,0.362811,0.973217,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,10,0.375054,0.972872,204.000000,80.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,1,0.391062,0.977640,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,2,0.389804,0.974917,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,3,0.389899,0.975167,1054.000000,403.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,4,0.389537,0.973268,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,5,0.385766,0.976797,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,6,0.392456,0.977089,1054.000000,401.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,7,0.384805,0.975826,1054.000000,403.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,8,0.384371,0.973595,1054.000000,405.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,9,0.384490,0.974387,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,10,0.385769,0.977607,1054.000000,402.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,1,0.394713,0.978352,2114.000000,799.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,2,0.393959,0.976375,2114.000000,801.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,3,0.389870,0.977911,2114.000000,801.000000,ok
