scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
ma_lb_pq_vdse,exp8_load_balance,100,1,0.082912,0.971909,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,2,0.105574,0.972139,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,3,0.089422,0.966856,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,4,0.090873,0.967496,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,5,0.106589,0.963557,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,6,0.112233,0.968263,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,7,0.090823,0.971729,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,8,0.111611,0.970609,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,9,0.088763,0.971794,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,100,10,0.095723,0.971222,210.000000,32.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,1,0.126432,0.967496,1085.000000,145.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,2,0.120792,0.968279,1085.000000,149.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,3,0.129162,0.973711,1085.000000,147.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,4,0.124989,0.969563,1085.000000,154.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,5,0.118989,0.972511,1085.000000,153.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,6,0.129219,0.973026,1085.000000,148.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,7,0.127413,0.972253,1085.000000,141.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,8,0.121958,0.973577,1085.000000,156.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,9,0.122682,0.973249,1085.000000,147.000000,ok
ma_lb_pq_vdse,exp8_load_balance,500,10,0.130506,0.972931,1085.000000,156.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,1,0.125067,0.971604,2173.000000,312.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,2,0.121389,0.974768,2173.000000,275.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,3,0.122952,0.969051,2173.000000,311.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,4,0.120816,0.973946,2173.000000,294.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,5,0.124132,0.975050,2173.000000,306.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,6,0.129374,0.973443,2173.000000,299.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,7,0.111976,0.969833,2173.000000,311.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,8,0.125278,0.973920,2173.000000,273.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,9,0.128253,0.971173,2173.000000,310.000000,ok
ma_lb_pq_vdse,exp8_load_balance,1000,10,0.105302,0.973831,2173.000000,271.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,1,0.107316,0.972868,5460.000000,701.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,2,0.129221,0.969656,5460.000000,672.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,3,0.123787,0.973362,5460.000000,710.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,4,0.113345,0.970340,5460.000000,716.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,5,0.119125,0.971023,5460.000000,718.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,6,0.127760,0.975175,5460.000000,692.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,7,0.122537,0.967399,5460.000000,714.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,8,0.107400,0.972465,5460.000000,701.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,9,0.110800,0.969705,5460.000000,703.000000,ok
ma_lb_pq_vdse,exp8_load_balance,2500,10,0.125482,0.975492,5460.000000,701.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,1,0.121032,0.969276,10923.000000,1388.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,2,0.125551,0.973454,10923.000000,1396.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,3,0.117231,0.957530,10923.000000,1470.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,4,0.141196,0.974537,10923.000000,1344.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,5,0.120174,0.975165,10923.000000,1401.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,6,0.125724,0.975680,10923.000000,1349.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,7,0.134724,0.976287,10923.000000,1364.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,8,0.136713,0.972518,10923.000000,1386.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,9,0.131591,0.975356,10923.000000,1396.000000,ok
ma_lb_pq_vdse,exp8_load_balance,5000,10,0.131593,0.970484,10923.000000,1422.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,1,0.138662,0.978306,21875.000000,2692.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,2,0.138318,0.974145,21875.000000,2724.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,3,0.135873,0.962075,21875.000000,2717.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,4,0.131471,0.976025,21875.000000,2769.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,5,0.129345,0.977738,21875.000000,2716.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,6,0.131475,0.975933,21875.000000,2715.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,7,0.135588,0.964734,21875.000000,2741.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,8,0.126603,0.977388,21875.000000,2737.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,9,0.137611,0.976358,21875.000000,2750.000000,ok
ma_lb_pq_vdse,exp8_load_balance,10000,10,0.131179,0.966004,21875.000000,2699.000000,ok
