scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,1,0.666353,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,2,0.675953,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,3,0.673215,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,4,0.668213,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,5,0.669220,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,6,0.673225,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,7,0.656188,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,8,0.664730,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,9,0.666141,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,10,0.665416,4.000000,24.000000,3.515625,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,1,1.639740,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,2,1.616128,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,3,1.643890,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,4,1.630398,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,5,1.628434,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,6,1.630263,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,7,1.629999,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,8,1.626478,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,9,1.709196,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,10,1.639175,10.000000,60.000000,8.789062,1.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,1,3.221903,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,2,3.225575,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,3,3.290966,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,4,3.227723,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,5,3.218775,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,6,3.266853,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,7,3.257766,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,8,3.236548,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,9,3.290209,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,10,3.236876,20.000000,120.000000,17.509766,2.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,1,4.814617,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,2,4.812430,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,3,4.831354,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,4,4.813782,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,5,4.878542,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,6,4.833930,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,7,4.838577,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,8,4.830025,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,9,4.839396,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,10,4.821335,30.000000,180.000000,26.367188,3.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,1,6.430543,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,2,6.413546,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,3,6.470934,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,4,6.469415,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,5,6.428927,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,6,6.442874,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,7,6.427548,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,8,6.448590,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,9,6.467188,40.000000,240.000000,35.087891,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,10,6.437479,40.000000,240.000000,35.087891,4.000000,ok
