scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,secondary_metric_4,status
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,1,6.865078,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,2,6.928932,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,3,6.856582,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,4,6.858153,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,5,6.854053,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,6,6.873449,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,7,6.858129,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,8,6.851048,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,9,6.871016,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.1,10,6.843125,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,1,6.900203,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,2,6.889593,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,3,6.844614,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,4,6.877773,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,5,6.871449,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,6,6.854300,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,7,6.884832,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,8,6.854633,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,9,6.848739,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.25,10,6.870409,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,1,6.917656,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,2,6.878880,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,3,6.882581,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,4,7.388745,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,5,6.892233,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,6,6.901883,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,7,6.877167,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,8,7.008693,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,9,6.912586,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.5,10,6.899792,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,1,6.904523,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,2,6.880724,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,3,6.919547,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,4,6.906265,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,5,6.930588,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,6,6.893129,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,7,6.958169,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,8,6.896037,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,9,6.922298,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,0.75,10,6.881731,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,1,6.886623,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,2,6.896049,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,3,6.870405,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,4,6.846893,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,5,6.898368,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,6,6.891049,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,7,6.889957,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,8,6.908346,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,9,6.949691,40.000000,240.000000,141.054688,4.000000,ok
ma_lb_pq_vdse,psa_exp6_affected_ratio,1.0,10,6.952320,40.000000,240.000000,141.054688,4.000000,ok
