scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp7_search_throughput,100,1,1638.482528,4.108070,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,2,1477.446411,3.691335,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,3,1678.422365,2.797601,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,4,1553.980955,3.757182,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,5,1532.742593,2.872469,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,6,1516.211991,3.073048,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,7,1477.883852,2.901900,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,8,1628.966809,1.706976,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,9,1556.300695,4.314743,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,10,1522.225505,3.869147,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,1,2837.455392,1.522339,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,2,2677.089253,1.427207,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,3,2834.043074,2.096693,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,4,2859.510663,1.858206,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,5,2713.036762,2.229018,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,6,2913.536962,2.307674,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,7,2835.609032,1.799363,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,8,2867.810835,1.488540,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,9,2498.124233,1.420696,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,10,2772.565955,1.871462,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,1,2766.450094,1.389927,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,2,3137.376982,1.641736,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,3,2725.443412,1.426466,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,4,3180.816126,1.619203,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,5,3168.751858,2.138627,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,6,3146.167563,1.530167,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,7,2636.335549,1.407453,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,8,2870.088168,1.462786,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,9,3174.103621,2.234179,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,10,3180.934588,3.012228,0.000000,ok
