scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp7_search_throughput,100,1,1555.987003,3.180030,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,2,1630.562427,2.968952,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,3,1531.286683,2.971137,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,4,1639.526922,4.656732,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,5,1535.513636,2.926339,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,6,1584.017768,3.104103,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,7,1639.264341,3.003061,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,8,1456.723675,3.024965,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,9,1416.801050,2.721494,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,100,10,1544.650597,2.845924,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,1,2651.601610,2.466532,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,2,2702.275115,2.129384,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,3,2451.282957,1.608326,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,4,2657.013503,2.641940,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,5,2692.835295,2.521989,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,6,2715.893828,2.271187,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,7,2758.141192,3.410956,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,8,2485.576362,1.545257,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,9,2765.073754,3.696921,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,500,10,2774.569343,2.588840,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,1,2976.784797,2.867569,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,2,3041.969620,2.249895,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,3,2989.078118,2.395480,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,4,2510.546870,1.433281,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,5,2991.597220,2.450511,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,6,2917.260988,1.787794,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,7,2956.075858,1.905630,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,8,2485.393930,1.410394,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,9,3057.046023,2.219748,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,1000,10,2990.538448,1.793239,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,1,2883.310974,1.476466,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,2,2812.803545,1.473511,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,3,3269.116650,1.708508,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,4,3219.993968,1.776861,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,5,3246.819267,1.790297,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,6,3270.633185,2.410043,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,7,3267.758214,1.733649,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,8,3241.944168,1.591428,0.000000,ok
ma_lb_pq_vdse,psa_exp7_search_throughput,2500,9,3219.580050,1.929401,0.000000,ok
