scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp8_load_balance,100,1,0.050954,0.789662,24.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,2,0.063242,0.864639,26.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,3,0.138845,0.855785,31.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,4,0.072443,0.874627,25.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,5,0.112007,0.856315,29.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,6,0.068987,0.796548,38.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,7,0.134946,0.913985,26.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,8,0.097354,0.889678,31.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,9,0.102934,0.930031,35.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,10,0.117219,0.847941,30.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,1,0.060302,0.812540,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,2,0.054799,0.841963,74.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,3,0.082946,0.893877,30.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,4,0.037590,0.776067,44.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,5,0.091033,0.866024,29.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,6,0.041218,0.797617,55.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,7,0.044346,0.917531,36.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,8,0.073701,0.735947,91.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,9,0.080292,0.801991,51.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,10,0.055944,0.872266,44.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,1,0.079862,0.890438,71.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,2,0.082402,0.651857,283.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,3,0.100885,0.661009,328.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,4,0.091415,0.757684,163.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,5,0.062479,0.795641,81.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,6,0.047988,0.857547,88.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,7,0.031032,0.850573,87.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,8,0.067159,0.795104,65.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,9,0.043210,0.858229,62.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,10,0.082078,0.737121,151.000000,ok
