scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp8_load_balance,100,1,0.088535,0.865376,39.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,2,0.067716,0.884647,31.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,3,0.098952,0.872245,33.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,4,0.102749,0.853302,30.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,5,0.101033,0.907549,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,6,0.106889,0.872540,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,7,0.113294,0.879287,28.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,8,0.108185,0.871675,27.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,9,0.083113,0.907289,30.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,10,0.055932,0.754368,38.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,1,0.081366,0.768204,87.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,2,0.066232,0.881209,45.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,3,0.047137,0.865185,68.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,4,0.035732,0.846251,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,5,0.053612,0.871891,45.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,6,0.048093,0.689982,55.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,7,0.069759,0.866321,56.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,8,0.060195,0.832565,34.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,9,0.100507,0.858210,49.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,10,0.038400,0.791946,81.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,1,0.069160,0.895051,131.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,2,0.083475,0.691745,275.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,3,0.046902,0.850539,58.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,4,0.059767,0.862003,36.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,5,0.064387,0.850104,77.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,6,0.058131,0.871164,61.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,7,0.088075,0.895174,75.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,8,0.060988,0.860153,37.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,9,0.067069,0.836114,47.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,10,0.049855,0.859595,78.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,1,0.113167,0.707172,711.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,2,0.078632,0.694570,460.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,3,0.068076,0.871800,120.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,4,0.071399,0.853086,72.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,5,0.131346,0.672523,812.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,6,0.046069,0.826284,106.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,7,0.112500,0.691280,589.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,8,0.102434,0.712922,440.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,9,0.074812,0.867008,91.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,10,0.061511,0.871839,71.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,1,0.121150,0.678867,1346.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,2,0.072432,0.838846,160.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,3,0.105690,0.685941,1296.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,4,0.057690,0.862871,119.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,5,0.039065,0.812796,264.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,6,0.072898,0.880495,118.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,7,0.059817,0.844598,162.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,8,0.116058,0.635677,1522.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,9,0.055624,0.830384,122.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,10,0.119682,0.672737,1561.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,1,0.081038,0.765188,1155.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,2,0.049357,0.857160,192.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,3,0.038764,0.769364,1113.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,4,0.141154,0.661859,3795.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,5,0.070207,0.752225,1157.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,6,0.088559,0.796067,913.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,7,0.047597,0.772415,381.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,8,0.056857,0.848115,295.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,9,0.071788,0.777463,845.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,10,0.080977,0.753509,1188.000000,ok
