scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp8_load_balance,100,1,0.244672,0.961538,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,2,0.086379,0.479148,39.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,3,0.183975,0.909983,38.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,4,0.138134,0.921953,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,5,0.071060,0.617718,50.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,6,0.181589,0.907337,39.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,7,0.204841,0.861701,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,8,0.167148,0.782640,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,9,0.057067,0.432694,36.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,10,0.210545,0.760199,19.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,1,0.186941,0.962426,94.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,2,0.051489,0.714470,36.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,3,0.062853,0.559204,62.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,4,0.187954,0.912254,79.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,5,0.077047,0.612848,47.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,6,0.072024,0.678975,66.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,7,0.132432,0.661225,77.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,8,0.048906,0.795228,106.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,9,0.036644,0.807546,70.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,10,0.043190,0.525739,36.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,1,0.073251,0.773186,59.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,2,0.041897,0.718859,148.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,3,0.059415,0.796727,111.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,4,0.067909,0.884020,112.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,5,0.143462,0.689123,290.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,6,0.113656,0.680128,299.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,7,0.067241,0.899423,167.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,8,0.051128,0.859126,81.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,9,0.093871,0.838595,117.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,10,0.042299,0.853465,62.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,1,0.123274,0.654817,868.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,2,0.056438,0.868153,89.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,3,0.051460,0.764029,259.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,4,0.047088,0.885566,161.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,5,0.090904,0.788304,324.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,6,0.094994,0.734728,392.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,7,0.056561,0.862458,123.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,8,0.085471,0.862372,118.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,9,0.053133,0.738440,342.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,10,0.051801,0.746233,416.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,1,0.063073,0.744912,153.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,2,0.047595,0.846774,110.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,3,0.049476,0.821770,171.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,4,0.051724,0.816145,418.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,5,0.064491,0.836748,131.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,6,0.060433,0.834285,159.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,7,0.115686,0.674927,1535.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,8,0.140460,0.681111,1678.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,9,0.047990,0.802281,511.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,10,0.081340,0.781261,494.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,1,0.069295,0.800394,835.000000,ok
