scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
ma_lb_pq_vdse,psa_exp8_load_balance,100,1,0.115804,0.893995,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,2,0.065796,0.812948,29.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,3,0.101110,0.910423,28.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,4,0.061148,0.894709,29.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,5,0.106214,0.837193,39.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,6,0.116606,0.909815,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,7,0.098647,0.900028,32.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,8,0.094651,0.893036,29.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,9,0.087077,0.861542,26.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,100,10,0.056220,0.865005,33.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,1,0.063742,0.812563,51.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,2,0.042735,0.879867,106.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,3,0.074531,0.904085,66.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,4,0.051525,0.739981,75.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,5,0.091691,0.827450,73.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,6,0.076320,0.828313,73.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,7,0.043522,0.807044,55.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,8,0.036492,0.871570,89.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,9,0.053359,0.864953,47.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,500,10,0.078920,0.891317,39.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,1,0.096815,0.867649,68.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,2,0.079988,0.867117,72.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,3,0.055696,0.848990,72.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,4,0.082663,0.870307,40.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,5,0.095611,0.819921,75.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,6,0.052452,0.830496,79.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,7,0.083051,0.772208,102.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,8,0.150535,0.681063,317.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,9,0.047587,0.796275,136.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,1000,10,0.083013,0.869192,46.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,1,0.118145,0.703049,653.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,2,0.065752,0.818814,119.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,3,0.073119,0.775637,177.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,4,0.072271,0.846111,111.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,5,0.131104,0.657135,778.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,6,0.069829,0.742710,310.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,7,0.069357,0.859166,172.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,8,0.088552,0.665852,600.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,9,0.072372,0.806194,88.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,2500,10,0.066019,0.871089,241.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,1,0.043285,0.830431,90.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,2,0.056845,0.783098,543.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,3,0.136802,0.675922,1719.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,4,0.074834,0.827568,135.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,5,0.074483,0.734303,536.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,6,0.047665,0.785164,183.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,7,0.069898,0.843053,108.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,8,0.053226,0.860742,167.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,9,0.061610,0.769562,378.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,5000,10,0.061637,0.819269,82.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,1,0.092468,0.760820,1406.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,2,0.058915,0.752104,1051.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,3,0.133779,0.684363,3249.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,4,0.102877,0.660555,2575.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,5,0.133369,0.646795,3797.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,6,0.058864,0.794146,439.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,7,0.037149,0.743798,1316.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,8,0.052045,0.818116,363.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,9,0.046672,0.835475,292.000000,ok
ma_lb_pq_vdse,psa_exp8_load_balance,10000,10,0.114944,0.686493,2900.000000,ok
