scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
perera_lv_pqabse,exp1,1,1,1.236635,3341,1,ok
perera_lv_pqabse,exp1,1,2,0.734294,3341,1,ok
perera_lv_pqabse,exp1,1,3,1.723194,3341,1,ok
perera_lv_pqabse,exp1,1,4,1.717958,3341,1,ok
perera_lv_pqabse,exp1,1,5,0.568523,3341,1,ok
perera_lv_pqabse,exp1,1,6,1.706546,3341,1,ok
perera_lv_pqabse,exp1,1,7,2.036357,3341,1,ok
perera_lv_pqabse,exp1,1,8,0.895832,3341,1,ok
perera_lv_pqabse,exp1,1,9,1.703875,3341,1,ok
perera_lv_pqabse,exp1,1,10,1.379072,3341,1,ok
perera_lv_pqabse,exp1,1,11,0.892805,3341,1,ok
perera_lv_pqabse,exp1,1,12,0.731778,3341,1,ok
perera_lv_pqabse,exp1,1,13,2.026559,3341,1,ok
perera_lv_pqabse,exp1,1,14,0.891814,3341,1,ok
perera_lv_pqabse,exp1,1,15,0.890655,3341,1,ok
perera_lv_pqabse,exp1,1,16,0.878849,3341,1,ok
perera_lv_pqabse,exp1,1,17,0.738950,3341,1,ok
perera_lv_pqabse,exp1,1,18,0.731859,3341,1,ok
perera_lv_pqabse,exp1,1,19,0.734271,3341,1,ok
perera_lv_pqabse,exp1,1,20,2.025750,3341,1,ok
perera_lv_pqabse,exp1,1,21,0.569537,3341,1,ok
perera_lv_pqabse,exp1,1,22,1.211289,3341,1,ok
perera_lv_pqabse,exp1,1,23,1.858012,3341,1,ok
perera_lv_pqabse,exp1,1,24,1.228074,3341,1,ok
perera_lv_pqabse,exp1,1,25,1.048927,3341,1,ok
perera_lv_pqabse,exp1,1,26,0.558717,3341,1,ok
perera_lv_pqabse,exp1,1,27,2.185356,3341,1,ok
perera_lv_pqabse,exp1,1,28,0.731574,3341,1,ok
perera_lv_pqabse,exp1,1,29,2.826886,3341,1,ok
perera_lv_pqabse,exp1,1,30,1.216409,3341,1,ok
perera_lv_pqabse,exp1,2,1,1.708543,3373,2,ok
perera_lv_pqabse,exp1,2,2,0.894043,3373,2,ok
perera_lv_pqabse,exp1,2,3,0.731975,3373,2,ok
perera_lv_pqabse,exp1,2,4,1.532096,3373,2,ok
perera_lv_pqabse,exp1,2,5,1.231570,3373,2,ok
perera_lv_pqabse,exp1,2,6,3.149960,3373,2,ok
perera_lv_pqabse,exp1,2,7,1.060769,3373,2,ok
perera_lv_pqabse,exp1,2,8,0.722796,3373,2,ok
perera_lv_pqabse,exp1,2,9,0.893324,3373,2,ok
perera_lv_pqabse,exp1,2,10,0.572717,3373,2,ok
perera_lv_pqabse,exp1,2,11,0.560971,3373,2,ok
perera_lv_pqabse,exp1,2,12,0.737302,3373,2,ok
perera_lv_pqabse,exp1,2,13,0.574184,3373,2,ok
perera_lv_pqabse,exp1,2,14,1.058886,3373,2,ok
perera_lv_pqabse,exp1,2,15,3.972678,3373,2,ok
perera_lv_pqabse,exp1,2,16,1.704159,3373,2,ok
perera_lv_pqabse,exp1,2,17,0.890766,3373,2,ok
perera_lv_pqabse,exp1,2,18,2.190088,3373,2,ok
perera_lv_pqabse,exp1,2,19,1.050250,3373,2,ok
perera_lv_pqabse,exp1,2,20,0.568484,3373,2,ok
perera_lv_pqabse,exp1,2,21,1.543476,3373,2,ok
perera_lv_pqabse,exp1,2,22,1.211603,3373,2,ok
perera_lv_pqabse,exp1,2,23,0.571624,3373,2,ok
perera_lv_pqabse,exp1,2,24,0.731310,3373,2,ok
perera_lv_pqabse,exp1,2,25,0.573336,3373,2,ok
perera_lv_pqabse,exp1,2,26,1.051688,3373,2,ok
perera_lv_pqabse,exp1,2,27,1.533280,3373,2,ok
perera_lv_pqabse,exp1,2,28,0.583014,3373,2,ok
perera_lv_pqabse,exp1,2,29,1.861890,3373,2,ok
perera_lv_pqabse,exp1,2,30,1.531788,3373,2,ok
perera_lv_pqabse,exp1,3,1,0.896679,3405,3,ok
perera_lv_pqabse,exp1,3,2,1.058347,3405,3,ok
perera_lv_pqabse,exp1,3,3,1.067404,3405,3,ok
perera_lv_pqabse,exp1,3,4,0.898470,3405,3,ok
perera_lv_pqabse,exp1,3,5,0.887485,3405,3,ok
perera_lv_pqabse,exp1,3,6,0.734291,3405,3,ok
perera_lv_pqabse,exp1,3,7,0.574014,3405,3,ok
perera_lv_pqabse,exp1,3,8,1.381344,3405,3,ok
perera_lv_pqabse,exp1,3,9,1.056056,3405,3,ok
perera_lv_pqabse,exp1,3,10,0.895881,3405,3,ok
perera_lv_pqabse,exp1,3,11,0.575132,3405,3,ok
perera_lv_pqabse,exp1,3,12,0.732304,3405,3,ok
perera_lv_pqabse,exp1,3,13,0.895348,3405,3,ok
perera_lv_pqabse,exp1,3,14,1.223964,3405,3,ok
perera_lv_pqabse,exp1,3,15,2.352377,3405,3,ok
perera_lv_pqabse,exp1,3,16,1.538202,3405,3,ok
perera_lv_pqabse,exp1,3,17,0.737129,3405,3,ok
perera_lv_pqabse,exp1,3,18,0.576281,3405,3,ok
perera_lv_pqabse,exp1,3,19,1.064687,3405,3,ok
perera_lv_pqabse,exp1,3,20,1.057169,3405,3,ok
perera_lv_pqabse,exp1,3,21,1.373532,3405,3,ok
perera_lv_pqabse,exp1,3,22,0.734901,3405,3,ok
perera_lv_pqabse,exp1,3,23,2.351072,3405,3,ok
perera_lv_pqabse,exp1,3,24,1.711929,3405,3,ok
perera_lv_pqabse,exp1,3,25,1.545662,3405,3,ok
perera_lv_pqabse,exp1,3,26,1.855996,3405,3,ok
perera_lv_pqabse,exp1,3,27,1.071870,3405,3,ok
perera_lv_pqabse,exp1,3,28,0.723830,3405,3,ok
perera_lv_pqabse,exp1,3,29,1.053324,3405,3,ok
perera_lv_pqabse,exp1,3,30,1.546630,3405,3,ok
perera_lv_pqabse,exp1,4,1,1.574270,3437,4,ok
perera_lv_pqabse,exp1,4,2,0.744295,3437,4,ok
perera_lv_pqabse,exp1,4,3,3.859616,3437,4,ok
perera_lv_pqabse,exp1,4,4,1.380712,3437,4,ok
perera_lv_pqabse,exp1,4,5,0.578983,3437,4,ok
perera_lv_pqabse,exp1,4,6,1.708764,3437,4,ok
perera_lv_pqabse,exp1,4,7,1.390049,3437,4,ok
perera_lv_pqabse,exp1,4,8,1.230234,3437,4,ok
perera_lv_pqabse,exp1,4,9,1.069650,3437,4,ok
perera_lv_pqabse,exp1,4,10,1.219865,3437,4,ok
perera_lv_pqabse,exp1,4,11,0.579534,3437,4,ok
perera_lv_pqabse,exp1,4,12,0.898055,3437,4,ok
perera_lv_pqabse,exp1,4,13,1.550520,3437,4,ok
perera_lv_pqabse,exp1,4,14,1.709282,3437,4,ok
perera_lv_pqabse,exp1,4,15,0.577641,3437,4,ok
perera_lv_pqabse,exp1,4,16,0.578146,3437,4,ok
perera_lv_pqabse,exp1,4,17,0.898567,3437,4,ok
perera_lv_pqabse,exp1,4,18,0.898519,3437,4,ok
perera_lv_pqabse,exp1,4,19,0.579257,3437,4,ok
perera_lv_pqabse,exp1,4,20,0.567444,3437,4,ok
perera_lv_pqabse,exp1,4,21,1.222193,3437,4,ok
perera_lv_pqabse,exp1,4,22,0.579580,3437,4,ok
perera_lv_pqabse,exp1,4,23,1.216366,3437,4,ok
perera_lv_pqabse,exp1,4,24,2.195888,3437,4,ok
perera_lv_pqabse,exp1,4,25,2.358904,3437,4,ok
perera_lv_pqabse,exp1,4,26,1.546763,3437,4,ok
perera_lv_pqabse,exp1,4,27,1.706348,3437,4,ok
perera_lv_pqabse,exp1,4,28,0.741963,3437,4,ok
perera_lv_pqabse,exp1,4,29,0.900994,3437,4,ok
perera_lv_pqabse,exp1,4,30,1.226769,3437,4,ok
perera_lv_pqabse,exp1,5,1,1.874234,3469,5,ok
perera_lv_pqabse,exp1,5,2,0.734889,3469,5,ok
perera_lv_pqabse,exp1,5,3,0.908625,3469,5,ok
perera_lv_pqabse,exp1,5,4,2.522475,3469,5,ok
perera_lv_pqabse,exp1,5,5,0.573439,3469,5,ok
perera_lv_pqabse,exp1,5,6,0.580379,3469,5,ok
perera_lv_pqabse,exp1,5,7,0.593523,3469,5,ok
perera_lv_pqabse,exp1,5,8,2.352046,3469,5,ok
perera_lv_pqabse,exp1,5,9,0.910668,3469,5,ok
perera_lv_pqabse,exp1,5,10,2.516540,3469,5,ok
perera_lv_pqabse,exp1,5,11,0.743632,3469,5,ok
perera_lv_pqabse,exp1,5,12,0.582430,3469,5,ok
perera_lv_pqabse,exp1,5,13,0.741320,3469,5,ok
perera_lv_pqabse,exp1,5,14,1.390104,3469,5,ok
perera_lv_pqabse,exp1,5,15,1.542361,3469,5,ok
perera_lv_pqabse,exp1,5,16,0.909419,3469,5,ok
perera_lv_pqabse,exp1,5,17,0.742636,3469,5,ok
perera_lv_pqabse,exp1,5,18,0.901097,3469,5,ok
perera_lv_pqabse,exp1,5,19,1.870204,3469,5,ok
perera_lv_pqabse,exp1,5,20,1.877907,3469,5,ok
perera_lv_pqabse,exp1,5,21,2.040951,3469,5,ok
perera_lv_pqabse,exp1,5,22,2.200734,3469,5,ok
perera_lv_pqabse,exp1,5,23,0.584810,3469,5,ok
perera_lv_pqabse,exp1,5,24,1.063787,3469,5,ok
perera_lv_pqabse,exp1,5,25,1.234376,3469,5,ok
perera_lv_pqabse,exp1,5,26,0.744215,3469,5,ok
perera_lv_pqabse,exp1,5,27,0.904254,3469,5,ok
perera_lv_pqabse,exp1,5,28,0.574858,3469,5,ok
perera_lv_pqabse,exp1,5,29,0.903529,3469,5,ok
