variable_value,primary_mean,primary_ci95,trapdoor_size_bytes_mean,trapdoor_size_bytes_ci95,prf_evaluations_mean,prf_evaluations_ci95,n_runs
1,1.349212,0.761062,3341.0,0.0,1.0,0.0,10
2,1.152254,0.533252,3373.0,0.0,2.0,0.0,10
3,1.330438,0.561315,3405.0,0.0,3.0,0.0,10
4,1.370952,0.421993,3437.0,0.0,4.0,0.0,10
5,1.612819,0.649976,3469.0,0.0,5.0,0.0,10
6,0.860089,0.236978,3501.0,0.0,6.0,0.0,10
7,1.328896,0.482552,3533.0,0.0,7.0,0.0,10
8,1.119253,0.668797,3565.0,0.0,8.0,0.0,10
9,1.430689,0.41636,3597.0,0.0,9.0,0.0,10
10,1.483528,0.602452,3629.0,0.0,10.0,0.0,10
11,1.405637,0.475985,3661.0,0.0,11.0,0.0,10
12,1.182011,0.510252,3693.0,0.0,12.0,0.0,10
13,1.738078,1.378059,3725.0,0.0,13.0,0.0,10
14,0.946423,0.309195,3757.0,0.0,14.0,0.0,10
15,1.578579,0.667642,3789.0,0.0,15.0,0.0,10
16,1.388219,0.576548,3821.0,0.0,16.0,0.0,10
17,0.921489,0.291134,3853.0,0.0,17.0,0.0,10
18,2.016624,0.817938,3885.0,0.0,18.0,0.0,10
19,1.284156,0.317165,3917.0,0.0,19.0,0.0,10
20,1.709457,0.540494,3949.0,0.0,20.0,0.0,10
