scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
perera_lv_pqabse,exp3,2,1,3.016277,2,0,2,ok
perera_lv_pqabse,exp3,2,2,4.258797,2,0,1,ok
perera_lv_pqabse,exp3,2,3,7.959044,2,0,2,ok
perera_lv_pqabse,exp3,2,4,3.410713,2,0,11,ok
perera_lv_pqabse,exp3,2,5,5.335965,2,0,4,ok
perera_lv_pqabse,exp3,2,6,2.987221,2,0,0,ok
perera_lv_pqabse,exp3,2,7,4.191146,2,0,2,ok
perera_lv_pqabse,exp3,2,8,4.404653,2,0,1,ok
perera_lv_pqabse,exp3,2,9,2.644647,2,0,0,ok
perera_lv_pqabse,exp3,2,10,2.151561,2,0,0,ok
perera_lv_pqabse,exp3,3,1,6.286538,3,0,0,ok
perera_lv_pqabse,exp3,3,2,5.470598,3,0,0,ok
perera_lv_pqabse,exp3,3,3,4.234350,3,0,0,ok
perera_lv_pqabse,exp3,3,4,4.869171,3,0,0,ok
perera_lv_pqabse,exp3,3,5,7.192428,3,0,1,ok
perera_lv_pqabse,exp3,3,6,4.410704,3,0,2,ok
perera_lv_pqabse,exp3,3,7,4.635881,3,0,4,ok
perera_lv_pqabse,exp3,3,8,6.201210,3,0,3,ok
perera_lv_pqabse,exp3,3,9,5.869760,3,0,0,ok
perera_lv_pqabse,exp3,3,10,6.492613,3,0,11,ok
perera_lv_pqabse,exp3,4,1,5.702553,4,0,1,ok
perera_lv_pqabse,exp3,4,2,5.867533,4,0,2,ok
perera_lv_pqabse,exp3,4,3,6.265935,4,0,35,ok
perera_lv_pqabse,exp3,4,4,5.724007,4,0,0,ok
perera_lv_pqabse,exp3,4,5,6.117407,4,0,0,ok
perera_lv_pqabse,exp3,4,6,6.555543,4,0,1,ok
perera_lv_pqabse,exp3,4,7,6.755767,4,0,3,ok
perera_lv_pqabse,exp3,4,8,6.498845,4,0,0,ok
perera_lv_pqabse,exp3,4,9,8.879208,4,0,5,ok
perera_lv_pqabse,exp3,4,10,7.442403,4,0,4,ok
