variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs,measurement_type
1,20.6375,0.170108,1890,0,1,0,10,measured
2,41.1923,0.196204,3780,0,2,0,10,measured
3,61.6778,0.210555,5670,0,3,0,10,measured
4,82.3362,0.262425,7560,0,4,0,10,measured
5,102.505,0.383928,9450,0,5,0,10,measured
6,123.401,0.36933,11340,0,6,0,10,measured
7,143.661,0.519143,13230,0,7,0,10,measured
8,164.008,0.639898,15120,0,8,0,10,measured
9,184.759,0.479526,17010,0,9,0,10,measured
10,205.178,0.588033,18900,0,10,0,10,measured
11,225.46,0.578412,20790,0,11,0,10,measured
12,246.407,0.53957,22680,0,12,0,10,measured
13,266.919,0.514,24570,0,13,0,10,measured
14,287.395,0.417849,26460,0,14,0,10,measured
15,308.015,0.544404,28350,0,15,0,10,measured
16,329.186,0.502885,30240,0,16,0,10,measured
17,348.585,0.576405,32130,0,17,0,10,measured
18,369.454,0.679821,34020,0,18,0,10,measured
19,389.732,0.659338,35910,0,19,0,10,measured
20,410.98,1.28366,37800,0,20,0,10,measured
