scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
thingom_pq_abse,exp3,2,1,154582,10,2,ok
thingom_pq_abse,exp3,2,2,154294,10,2,ok
thingom_pq_abse,exp3,2,3,154378,10,2,ok
thingom_pq_abse,exp3,2,4,154216,10,2,ok
thingom_pq_abse,exp3,2,5,154377,10,2,ok
thingom_pq_abse,exp3,2,6,154759,10,2,ok
thingom_pq_abse,exp3,2,7,155294,10,2,ok
thingom_pq_abse,exp3,2,8,155032,10,2,ok
thingom_pq_abse,exp3,2,9,155421,10,2,ok
thingom_pq_abse,exp3,2,10,154725,10,2,ok
thingom_pq_abse,exp3,3,1,154495,15,3,ok
thingom_pq_abse,exp3,3,2,155304,15,3,ok
thingom_pq_abse,exp3,3,3,155733,15,3,ok
thingom_pq_abse,exp3,3,4,154712,15,3,ok
thingom_pq_abse,exp3,3,5,154790,15,3,ok
thingom_pq_abse,exp3,3,6,154640,15,3,ok
thingom_pq_abse,exp3,3,7,154897,15,3,ok
thingom_pq_abse,exp3,3,8,154902,15,3,ok
thingom_pq_abse,exp3,3,9,155174,15,3,ok
thingom_pq_abse,exp3,3,10,155522,15,3,ok
thingom_pq_abse,exp3,4,1,154200,20,4,ok
thingom_pq_abse,exp3,4,2,154398,20,4,ok
thingom_pq_abse,exp3,4,3,155053,20,4,ok
thingom_pq_abse,exp3,4,4,155058,20,4,ok
thingom_pq_abse,exp3,4,5,155008,20,4,ok
thingom_pq_abse,exp3,4,6,154456,20,4,ok
thingom_pq_abse,exp3,4,7,155141,20,4,ok
thingom_pq_abse,exp3,4,8,154411,20,4,ok
thingom_pq_abse,exp3,4,9,154448,20,4,ok
thingom_pq_abse,exp3,4,10,154741,20,4,ok
thingom_pq_abse,exp3,5,1,155329,25,5,ok
thingom_pq_abse,exp3,5,2,155721,25,5,ok
thingom_pq_abse,exp3,5,3,156251,25,5,ok
thingom_pq_abse,exp3,5,4,156287,25,5,ok
thingom_pq_abse,exp3,5,5,155461,25,5,ok
thingom_pq_abse,exp3,5,6,155333,25,5,ok
thingom_pq_abse,exp3,5,7,155445,25,5,ok
thingom_pq_abse,exp3,5,8,155198,25,5,ok
thingom_pq_abse,exp3,5,9,154947,25,5,ok
thingom_pq_abse,exp3,5,10,155471,25,5,ok
thingom_pq_abse,exp3,6,1,154628,30,6,ok
thingom_pq_abse,exp3,6,2,154686,30,6,ok
thingom_pq_abse,exp3,6,3,154642,30,6,ok
thingom_pq_abse,exp3,6,4,154917,30,6,ok
thingom_pq_abse,exp3,6,5,155157,30,6,ok
thingom_pq_abse,exp3,6,6,155265,30,6,ok
thingom_pq_abse,exp3,6,7,155094,30,6,ok
thingom_pq_abse,exp3,6,8,154698,30,6,ok
thingom_pq_abse,exp3,6,9,154826,30,6,ok
thingom_pq_abse,exp3,6,10,154890,30,6,ok
thingom_pq_abse,exp3,7,1,154907,35,7,ok
thingom_pq_abse,exp3,7,2,155231,35,7,ok
thingom_pq_abse,exp3,7,3,155247,35,7,ok
thingom_pq_abse,exp3,7,4,155371,35,7,ok
thingom_pq_abse,exp3,7,5,155235,35,7,ok
thingom_pq_abse,exp3,7,6,155329,35,7,ok
thingom_pq_abse,exp3,7,7,154977,35,7,ok
thingom_pq_abse,exp3,7,8,155259,35,7,ok
thingom_pq_abse,exp3,7,9,156050,35,7,ok
thingom_pq_abse,exp3,7,10,155094,35,7,ok
thingom_pq_abse,exp3,8,1,155684,40,8,ok
thingom_pq_abse,exp3,8,2,155018,40,8,ok
thingom_pq_abse,exp3,8,3,155038,40,8,ok
thingom_pq_abse,exp3,8,4,154890,40,8,ok
thingom_pq_abse,exp3,8,5,154850,40,8,ok
thingom_pq_abse,exp3,8,6,155166,40,8,ok
thingom_pq_abse,exp3,8,7,155379,40,8,ok
thingom_pq_abse,exp3,8,8,155144,40,8,ok
thingom_pq_abse,exp3,8,9,155289,40,8,ok
thingom_pq_abse,exp3,8,10,155633,40,8,ok
thingom_pq_abse,exp3,9,1,155693,45,9,ok
thingom_pq_abse,exp3,9,2,155038,45,9,ok
thingom_pq_abse,exp3,9,3,155388,45,9,ok
thingom_pq_abse,exp3,9,4,154738,45,9,ok
thingom_pq_abse,exp3,9,5,155322,45,9,ok
thingom_pq_abse,exp3,9,6,155108,45,9,ok
thingom_pq_abse,exp3,9,7,155403,45,9,ok
thingom_pq_abse,exp3,9,8,155914,45,9,ok
thingom_pq_abse,exp3,9,9,156005,45,9,ok
thingom_pq_abse,exp3,9,10,155312,45,9,ok
thingom_pq_abse,exp3,10,1,155891,50,10,ok
thingom_pq_abse,exp3,10,2,155507,50,10,ok
thingom_pq_abse,exp3,10,3,155173,50,10,ok
thingom_pq_abse,exp3,10,4,155411,50,10,ok
thingom_pq_abse,exp3,10,5,155471,50,10,ok
thingom_pq_abse,exp3,10,6,155246,50,10,ok
thingom_pq_abse,exp3,10,7,155447,50,10,ok
thingom_pq_abse,exp3,10,8,155649,50,10,ok
thingom_pq_abse,exp3,10,9,155528,50,10,ok
thingom_pq_abse,exp3,10,10,155456,50,10,ok
