scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
thingom_pq_abse,exp3,10,1,150241,50,10,ok
thingom_pq_abse,exp3,10,2,150647,50,10,ok
thingom_pq_abse,exp3,10,3,150763,50,10,ok
thingom_pq_abse,exp3,10,4,150544,50,10,ok
thingom_pq_abse,exp3,10,5,150344,50,10,ok
thingom_pq_abse,exp3,10,6,150312,50,10,ok
thingom_pq_abse,exp3,10,7,150840,50,10,ok
thingom_pq_abse,exp3,10,8,150157,50,10,ok
thingom_pq_abse,exp3,10,9,150142,50,10,ok
thingom_pq_abse,exp3,10,10,150557,50,10,ok
thingom_pq_abse,exp3,10,11,150759,50,10,ok
thingom_pq_abse,exp3,10,12,150137,50,10,ok
thingom_pq_abse,exp3,10,13,150499,50,10,ok
thingom_pq_abse,exp3,10,14,150561,50,10,ok
thingom_pq_abse,exp3,10,15,150169,50,10,ok
thingom_pq_abse,exp3,10,16,151012,50,10,ok
thingom_pq_abse,exp3,10,17,150514,50,10,ok
thingom_pq_abse,exp3,10,18,150534,50,10,ok
thingom_pq_abse,exp3,10,19,150506,50,10,ok
thingom_pq_abse,exp3,10,20,150526,50,10,ok
thingom_pq_abse,exp3,10,21,150371,50,10,ok
thingom_pq_abse,exp3,10,22,150583,50,10,ok
thingom_pq_abse,exp3,10,23,150268,50,10,ok
thingom_pq_abse,exp3,10,24,150386,50,10,ok
thingom_pq_abse,exp3,10,25,150094,50,10,ok
thingom_pq_abse,exp3,10,26,150466,50,10,ok
thingom_pq_abse,exp3,10,27,150196,50,10,ok
thingom_pq_abse,exp3,10,28,150320,50,10,ok
thingom_pq_abse,exp3,10,29,150663,50,10,ok
thingom_pq_abse,exp3,10,30,150028,50,10,ok
