scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,status
yue_ge,exp1,1,1,0.004857,96,1,ok
yue_ge,exp1,1,2,0.004528,96,1,ok
yue_ge,exp1,1,3,0.007393,96,1,ok
yue_ge,exp1,1,4,0.005272,96,1,ok
yue_ge,exp1,1,5,0.004609,96,1,ok
yue_ge,exp1,1,6,0.004593,96,1,ok
yue_ge,exp1,1,7,0.004360,96,1,ok
yue_ge,exp1,1,8,0.004251,96,1,ok
yue_ge,exp1,1,9,0.004361,96,1,ok
yue_ge,exp1,1,10,0.004547,96,1,ok
yue_ge,exp1,2,1,0.008259,192,2,ok
yue_ge,exp1,2,2,0.008143,192,2,ok
yue_ge,exp1,2,3,0.007956,192,2,ok
yue_ge,exp1,2,4,0.008395,192,2,ok
yue_ge,exp1,2,5,0.008045,192,2,ok
yue_ge,exp1,2,6,0.008096,192,2,ok
yue_ge,exp1,2,7,0.008067,192,2,ok
yue_ge,exp1,2,8,0.008178,192,2,ok
yue_ge,exp1,2,9,0.008045,192,2,ok
yue_ge,exp1,2,10,0.008067,192,2,ok
yue_ge,exp1,3,1,0.011987,288,3,ok
yue_ge,exp1,3,2,0.012294,288,3,ok
yue_ge,exp1,3,3,0.011930,288,3,ok
yue_ge,exp1,3,4,0.012034,288,3,ok
yue_ge,exp1,3,5,0.011725,288,3,ok
yue_ge,exp1,3,6,0.012038,288,3,ok
yue_ge,exp1,3,7,0.012112,288,3,ok
yue_ge,exp1,3,8,0.011817,288,3,ok
yue_ge,exp1,3,9,0.011778,288,3,ok
yue_ge,exp1,3,10,0.011915,288,3,ok
yue_ge,exp1,4,1,0.015999,384,4,ok
yue_ge,exp1,4,2,0.015702,384,4,ok
yue_ge,exp1,4,3,0.015763,384,4,ok
yue_ge,exp1,4,4,0.015640,384,4,ok
yue_ge,exp1,4,5,0.015866,384,4,ok
yue_ge,exp1,4,6,0.015637,384,4,ok
yue_ge,exp1,4,7,0.015918,384,4,ok
yue_ge,exp1,4,8,0.028197,384,4,ok
yue_ge,exp1,4,9,0.016494,384,4,ok
yue_ge,exp1,4,10,0.016089,384,4,ok
yue_ge,exp1,5,1,0.019838,480,5,ok
yue_ge,exp1,5,2,0.019576,480,5,ok
yue_ge,exp1,5,3,0.019843,480,5,ok
yue_ge,exp1,5,4,0.019347,480,5,ok
yue_ge,exp1,5,5,0.019520,480,5,ok
yue_ge,exp1,5,6,0.019519,480,5,ok
yue_ge,exp1,5,7,0.019572,480,5,ok
yue_ge,exp1,5,8,0.019718,480,5,ok
yue_ge,exp1,5,9,0.019643,480,5,ok
yue_ge,exp1,5,10,0.019509,480,5,ok
yue_ge,exp1,6,1,0.023221,576,6,ok
yue_ge,exp1,6,2,0.023256,576,6,ok
yue_ge,exp1,6,3,0.023400,576,6,ok
yue_ge,exp1,6,4,0.023166,576,6,ok
yue_ge,exp1,6,5,0.023409,576,6,ok
yue_ge,exp1,6,6,0.023456,576,6,ok
yue_ge,exp1,6,7,0.023403,576,6,ok
yue_ge,exp1,6,8,0.023278,576,6,ok
yue_ge,exp1,6,9,0.023476,576,6,ok
yue_ge,exp1,6,10,0.023557,576,6,ok
yue_ge,exp1,7,1,0.037391,672,7,ok
yue_ge,exp1,7,2,0.027099,672,7,ok
yue_ge,exp1,7,3,0.027102,672,7,ok
