variable_value,primary_mean,primary_ci95,token_size_bytes_mean,token_size_bytes_ci95,tokens_issued_mean,tokens_issued_ci95,n_runs
1,1.493888,0.005819,2515.0,0.0,1.0,0.0,30
2,2.43855,0.006465,8352.0,0.0,2.0,0.0,30
3,2.450595,0.008346,10867.0,0.0,3.0,0.0,30
4,2.830364,0.006466,14702.0,0.0,4.0,0.0,30
5,4.195195,0.007928,17217.0,0.0,5.0,0.0,30
6,11.522346,0.016305,38014.0,0.0,6.0,0.0,30
7,12.158631,0.014683,42685.0,0.0,7.0,0.0,30
8,13.408471,0.015461,49380.0,0.0,8.0,0.0,30
9,16.324051,0.014869,61157.0,0.0,9.0,0.0,30
10,17.22906,0.020477,66884.0,0.0,10.0,0.0,30
11,17.857664,0.020223,71533.0,0.0,11.0,0.0,30
12,18.215726,0.015255,75236.0,0.0,12.0,0.0,30
13,18.883731,0.022023,79907.0,0.0,13.0,0.0,30
14,32.618938,0.039805,121274.0,0.0,14.0,0.0,30
15,32.715533,0.026044,123789.0,0.0,15.0,0.0,30
16,32.711252,0.036476,126304.0,0.0,16.0,0.0,30
17,37.285539,0.052325,137685.0,0.0,17.0,0.0,30
18,37.665295,0.04357,140200.0,0.0,18.0,0.0,30
19,37.662628,0.036611,142715.0,0.0,19.0,0.0,30
20,38.818744,0.043559,149102.0,0.0,20.0,0.0,30
