scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp2,10000,1,0.449370,4,8,1.0,ok
yue_ge,exp2,10000,2,0.726145,7,11,1.0,ok
yue_ge,exp2,10000,3,0.070883,0,4,0.0,ok
yue_ge,exp2,10000,4,64.251674,806,810,0.947891,ok
yue_ge,exp2,10000,5,0.856698,8,12,1.0,ok
yue_ge,exp2,10000,6,11.571887,126,130,1.0,ok
yue_ge,exp2,10000,7,0.531721,5,9,1.0,ok
yue_ge,exp2,10000,8,0.901579,9,13,1.0,ok
yue_ge,exp2,10000,9,64.224425,816,820,0.960784,ok
yue_ge,exp2,10000,10,4.849225,48,52,0.9375,ok
yue_ge,exp2,20000,1,1.304327,13,17,1.0,ok
yue_ge,exp2,20000,2,0.744951,5,9,0.8,ok
yue_ge,exp2,20000,3,0.678159,3,7,1.0,ok
yue_ge,exp2,20000,4,1.827619,19,23,1.0,ok
yue_ge,exp2,20000,5,66.275418,830,834,0.939759,ok
yue_ge,exp2,20000,6,2.553114,22,26,0.909091,ok
yue_ge,exp2,20000,7,0.638414,6,10,1.0,ok
yue_ge,exp2,20000,8,304.999444,4349,4353,0.940216,ok
yue_ge,exp2,20000,9,2.869866,23,27,0.869565,ok
yue_ge,exp2,20000,10,1.371303,10,14,0.9,ok
yue_ge,exp2,50000,1,34.591056,424,428,0.96934,ok
yue_ge,exp2,50000,2,0.957236,6,10,0.833333,ok
yue_ge,exp2,50000,3,13.612452,162,166,0.981481,ok
yue_ge,exp2,50000,4,60.420991,772,776,0.954663,ok
yue_ge,exp2,50000,5,17.199851,201,205,0.965174,ok
yue_ge,exp2,50000,6,12.060107,141,145,0.971631,ok
yue_ge,exp2,50000,7,17.053483,187,191,1.0,ok
yue_ge,exp2,50000,8,3.149478,34,38,1.0,ok
yue_ge,exp2,50000,9,49.602144,636,640,0.982704,ok
yue_ge,exp2,50000,10,20.524003,250,254,0.98,ok
yue_ge,exp2,100000,1,104.219965,1392,1396,0.988506,ok
yue_ge,exp2,100000,2,214.421973,2360,2364,1.0,ok
yue_ge,exp2,100000,3,4.772482,50,54,1.0,ok
yue_ge,exp2,100000,4,162.975696,2239,2243,0.979455,ok
yue_ge,exp2,100000,5,37.711954,472,476,0.970339,ok
yue_ge,exp2,100000,6,1.143953,11,15,1.0,ok
yue_ge,exp2,100000,7,4.892502,53,57,0.981132,ok
yue_ge,exp2,100000,8,0.757617,5,9,0.8,ok
yue_ge,exp2,100000,9,7.281826,82,86,0.97561,ok
yue_ge,exp2,100000,10,4.572350,49,53,0.959184,ok
yue_ge,exp2,200000,1,231.611024,3262,3266,0.966891,ok
yue_ge,exp2,200000,2,7.251799,78,82,0.948718,ok
yue_ge,exp2,200000,3,4.260332,41,45,0.926829,ok
yue_ge,exp2,200000,4,15.877801,185,189,0.962162,ok
yue_ge,exp2,200000,5,19.646522,232,236,0.952586,ok
yue_ge,exp2,200000,6,3490.799811,38674,38678,1.0,ok
yue_ge,exp2,200000,7,15.276929,166,170,1.0,ok
yue_ge,exp2,200000,8,191.589886,2656,2660,0.976657,ok
yue_ge,exp2,200000,9,6.407263,64,68,0.921875,ok
yue_ge,exp2,200000,10,1.382689,14,18,1.0,ok
yue_ge,exp2,500000,1,14.169308,164,168,0.981707,ok
yue_ge,exp2,500000,2,2.034426,21,25,1.0,ok
yue_ge,exp2,500000,3,416.618488,4538,4542,1.0,ok
yue_ge,exp2,500000,4,473.197814,6774,6778,0.983614,ok
yue_ge,exp2,500000,5,24.639216,266,270,1.0,ok
yue_ge,exp2,500000,6,6.792463,73,77,1.0,ok
yue_ge,exp2,500000,7,3906.980747,42855,42859,1.0,ok
yue_ge,exp2,500000,8,29.491738,363,367,0.980716,ok
yue_ge,exp2,500000,9,0.848862,8,12,1.0,ok
yue_ge,exp2,500000,10,82.853334,1078,1082,0.978664,ok
yue_ge,exp2,1000000,1,1406.435483,15550,15554,1.0,ok
yue_ge,exp2,1000000,2,263.457844,3704,3708,0.973812,ok
yue_ge,exp2,1000000,3,0.334497,2,6,1.0,ok
yue_ge,exp2,1000000,4,33.037913,403,407,0.977667,ok
yue_ge,exp2,1000000,5,0.730798,3,7,1.0,ok
yue_ge,exp2,1000000,6,4.647661,50,54,1.0,ok
yue_ge,exp2,1000000,7,1408.646276,15564,15568,1.0,ok
yue_ge,exp2,1000000,8,2.300187,23,27,1.0,ok
yue_ge,exp2,1000000,9,0.639299,6,10,1.0,ok
yue_ge,exp2,1000000,10,1298.598003,14319,14323,1.0,ok
