scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp2,500000,1,4.342310,46,50,1.0,ok
yue_ge,exp2,500000,2,0.274486,2,6,1.0,ok
yue_ge,exp2,500000,3,2.821293,30,34,1.0,ok
yue_ge,exp2,500000,4,2.072630,20,24,0.95,ok
yue_ge,exp2,500000,5,1066.546747,11997,12001,1.0,ok
yue_ge,exp2,500000,6,5.220862,56,60,0.964286,ok
yue_ge,exp2,500000,7,33.081734,371,375,1.0,ok
yue_ge,exp2,500000,8,2291.518326,25788,25792,1.0,ok
yue_ge,exp2,500000,9,7.713000,87,91,0.988506,ok
yue_ge,exp2,500000,10,14.222368,158,162,0.93038,ok
yue_ge,exp2,500000,11,1.393417,14,18,1.0,ok
yue_ge,exp2,500000,12,1.440680,13,17,0.923077,ok
yue_ge,exp2,500000,13,4.943010,54,58,1.0,ok
yue_ge,exp2,500000,14,18.273529,214,218,0.96729,ok
yue_ge,exp2,500000,15,2.105501,22,26,1.0,ok
yue_ge,exp2,500000,16,471.145665,6996,7000,0.979131,ok
yue_ge,exp2,500000,17,1482.043276,16514,16518,1.0,ok
yue_ge,exp2,500000,18,0.816744,4,8,0.75,ok
yue_ge,exp2,500000,19,19.561029,234,238,0.974359,ok
yue_ge,exp2,500000,20,21.812552,264,268,0.969697,ok
yue_ge,exp2,500000,21,408.384836,5951,5955,0.978659,ok
yue_ge,exp2,500000,22,1.759582,15,19,0.933333,ok
yue_ge,exp2,500000,23,2.485966,22,26,0.909091,ok
yue_ge,exp2,500000,24,26.313470,326,330,0.981595,ok
yue_ge,exp2,500000,25,33.805621,420,424,0.971429,ok
yue_ge,exp2,500000,26,1563.143021,17565,17569,1.0,ok
yue_ge,exp2,500000,27,1081.982657,12148,12152,1.0,ok
yue_ge,exp2,500000,28,6.314683,69,73,0.985507,ok
yue_ge,exp2,500000,29,7.583135,82,86,0.95122,ok
yue_ge,exp2,500000,30,252.001851,3560,3564,0.972753,ok
