scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp3,2,1,4.562487,2,0,48,ok
yue_ge,exp3,2,2,18.196788,2,0,200,ok
yue_ge,exp3,2,3,53.821910,2,0,593,ok
yue_ge,exp3,2,4,1.796904,2,0,18,ok
yue_ge,exp3,2,5,12.751514,2,0,139,ok
yue_ge,exp3,2,6,67.043513,2,0,736,ok
yue_ge,exp3,2,7,200.416079,2,0,2230,ok
yue_ge,exp3,2,8,13.893676,2,0,153,ok
yue_ge,exp3,2,9,253.866751,2,0,2820,ok
yue_ge,exp3,2,10,1.520101,2,0,15,ok
yue_ge,exp3,3,1,192.793286,3,0,2152,ok
yue_ge,exp3,3,2,18.699205,3,0,206,ok
yue_ge,exp3,3,3,129.603399,3,0,1439,ok
yue_ge,exp3,3,4,4.157658,3,0,43,ok
yue_ge,exp3,3,5,11.649028,3,0,127,ok
yue_ge,exp3,3,6,4.172160,3,0,44,ok
yue_ge,exp3,3,7,92.415486,3,0,1027,ok
yue_ge,exp3,3,8,414.338435,3,0,4608,ok
yue_ge,exp3,3,9,156.365410,3,0,1737,ok
yue_ge,exp3,3,10,164.606359,3,0,1814,ok
yue_ge,exp3,4,1,76.688868,4,0,848,ok
yue_ge,exp3,4,2,348.760492,4,0,3877,ok
yue_ge,exp3,4,3,187.213520,4,0,2086,ok
yue_ge,exp3,4,4,298.121042,4,0,3305,ok
yue_ge,exp3,4,5,205.957682,4,0,2290,ok
yue_ge,exp3,4,6,357.272042,4,0,3968,ok
yue_ge,exp3,4,7,240.062284,4,0,2666,ok
yue_ge,exp3,4,8,35.738207,4,0,394,ok
yue_ge,exp3,4,9,84.129920,4,0,930,ok
yue_ge,exp3,4,10,53.696926,4,0,591,ok
yue_ge,exp3,5,1,365.107051,5,0,4013,ok
yue_ge,exp3,5,2,69.427810,5,0,762,ok
yue_ge,exp3,5,3,794.210613,5,0,8744,ok
yue_ge,exp3,5,4,134.942515,5,0,1483,ok
yue_ge,exp3,5,5,65.894436,5,0,731,ok
yue_ge,exp3,5,6,54.811450,5,0,606,ok
yue_ge,exp3,5,7,287.392384,5,0,3195,ok
yue_ge,exp3,5,8,162.854905,5,0,1809,ok
yue_ge,exp3,5,9,137.394346,5,0,1517,ok
yue_ge,exp3,5,10,61.980813,5,0,686,ok
yue_ge,exp3,6,1,13.338637,6,0,144,ok
yue_ge,exp3,6,2,11.484156,6,0,122,ok
yue_ge,exp3,6,3,198.523312,6,0,2187,ok
yue_ge,exp3,6,4,219.771515,6,0,2439,ok
yue_ge,exp3,6,5,36.024684,6,0,395,ok
yue_ge,exp3,6,6,395.257171,6,0,4393,ok
yue_ge,exp3,6,7,68.038957,6,0,750,ok
yue_ge,exp3,6,8,328.661709,6,0,3651,ok
yue_ge,exp3,6,9,225.757594,6,0,2494,ok
yue_ge,exp3,6,10,9.565881,6,0,100,ok
yue_ge,exp3,7,1,229.670879,7,0,2513,ok
yue_ge,exp3,7,2,255.949338,7,0,2815,ok
yue_ge,exp3,7,3,158.203265,7,0,1726,ok
yue_ge,exp3,7,4,59.013740,7,0,642,ok
yue_ge,exp3,7,5,355.944197,7,0,3918,ok
yue_ge,exp3,7,6,135.019698,7,0,1478,ok
yue_ge,exp3,7,7,261.598878,7,0,2872,ok
yue_ge,exp3,7,8,281.466084,7,0,3091,ok
yue_ge,exp3,7,9,104.608360,7,0,1146,ok
yue_ge,exp3,7,10,100.245718,7,0,1104,ok
yue_ge,exp3,8,1,210.169134,8,0,2314,ok
yue_ge,exp3,8,2,254.036065,8,0,2804,ok
yue_ge,exp3,8,3,111.311367,8,0,1219,ok
yue_ge,exp3,8,4,292.804124,8,0,3256,ok
yue_ge,exp3,8,5,193.865894,8,0,2148,ok
yue_ge,exp3,8,6,98.481736,8,0,1084,ok
yue_ge,exp3,8,7,137.005445,8,0,1497,ok
yue_ge,exp3,8,8,33.994333,8,0,369,ok
yue_ge,exp3,8,9,27.243169,8,0,294,ok
yue_ge,exp3,8,10,108.322000,8,0,1190,ok
yue_ge,exp3,9,1,272.760697,9,0,2999,ok
yue_ge,exp3,9,2,116.349767,9,0,1273,ok
yue_ge,exp3,9,3,243.014323,9,0,2669,ok
yue_ge,exp3,9,4,70.149232,9,0,764,ok
yue_ge,exp3,9,5,89.114457,9,0,971,ok
yue_ge,exp3,9,6,60.991347,9,0,663,ok
yue_ge,exp3,9,7,97.360672,9,0,1066,ok
yue_ge,exp3,9,8,258.990097,9,0,2834,ok
yue_ge,exp3,9,9,155.057523,9,0,1693,ok
yue_ge,exp3,9,10,267.540341,9,0,2922,ok
yue_ge,exp3,10,1,307.784369,10,0,3381,ok
yue_ge,exp3,10,2,141.171524,10,0,1548,ok
yue_ge,exp3,10,3,648.863167,10,0,7141,ok
yue_ge,exp3,10,4,150.332193,10,0,1648,ok
yue_ge,exp3,10,5,73.940408,10,0,808,ok
yue_ge,exp3,10,6,174.668241,10,0,1919,ok
yue_ge,exp3,10,7,299.169879,10,0,3296,ok
yue_ge,exp3,10,8,130.952988,10,0,1430,ok
yue_ge,exp3,10,9,136.263489,10,0,1493,ok
yue_ge,exp3,10,10,261.817454,10,0,2880,ok
