scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp3,3,1,32.394031,3,0,352,ok
yue_ge,exp3,3,2,103.561611,3,0,1144,ok
yue_ge,exp3,3,3,134.400674,3,0,1480,ok
yue_ge,exp3,3,4,5.022628,3,0,52,ok
yue_ge,exp3,3,5,48.646009,3,0,540,ok
yue_ge,exp3,3,6,39.076059,3,0,432,ok
yue_ge,exp3,3,7,6.978558,3,0,76,ok
yue_ge,exp3,3,8,2.473930,3,0,25,ok
yue_ge,exp3,3,9,595.079127,3,0,6618,ok
yue_ge,exp3,3,10,4.331953,3,0,45,ok
yue_ge,exp3,3,11,9.926125,3,0,108,ok
yue_ge,exp3,3,12,237.887582,3,0,2649,ok
yue_ge,exp3,3,13,29.967590,3,0,333,ok
yue_ge,exp3,3,14,515.414317,3,0,5753,ok
yue_ge,exp3,3,15,8.258897,3,0,89,ok
yue_ge,exp3,3,16,56.410474,3,0,632,ok
yue_ge,exp3,3,17,406.947621,3,0,4555,ok
yue_ge,exp3,3,18,38.621576,3,0,430,ok
yue_ge,exp3,3,19,3.220369,3,0,33,ok
yue_ge,exp3,3,20,2.137863,3,0,21,ok
yue_ge,exp3,3,21,269.631603,3,0,2997,ok
yue_ge,exp3,3,22,35.385786,3,0,391,ok
yue_ge,exp3,3,23,58.855039,3,0,652,ok
yue_ge,exp3,3,24,56.106539,3,0,623,ok
yue_ge,exp3,3,25,35.228094,3,0,390,ok
yue_ge,exp3,3,26,442.466374,3,0,4964,ok
yue_ge,exp3,3,27,325.028102,3,0,3615,ok
yue_ge,exp3,3,28,545.872702,3,0,6097,ok
yue_ge,exp3,3,29,78.363007,3,0,878,ok
yue_ge,exp3,3,30,213.062877,3,0,2386,ok
