scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp4,10,1,0.145224,0.0625,1,1,ok
yue_ge,exp4,10,2,0.139359,0.0625,1,1,ok
yue_ge,exp4,10,3,0.135413,0.0625,1,1,ok
yue_ge,exp4,10,4,0.133437,0.0625,1,1,ok
yue_ge,exp4,10,5,0.141535,0.0625,1,1,ok
yue_ge,exp4,10,6,0.129904,0.0625,1,1,ok
yue_ge,exp4,10,7,0.130749,0.0625,1,1,ok
yue_ge,exp4,10,8,0.130540,0.0625,1,1,ok
yue_ge,exp4,10,9,0.130848,0.0625,1,1,ok
yue_ge,exp4,10,10,0.129947,0.0625,1,1,ok
yue_ge,exp4,10,11,0.129581,0.0625,1,1,ok
yue_ge,exp4,10,12,0.128387,0.0625,1,1,ok
yue_ge,exp4,10,13,0.143418,0.0625,1,1,ok
yue_ge,exp4,10,14,0.132547,0.0625,1,1,ok
yue_ge,exp4,10,15,0.131036,0.0625,1,1,ok
yue_ge,exp4,10,16,0.143109,0.0625,1,1,ok
yue_ge,exp4,10,17,0.131003,0.0625,1,1,ok
yue_ge,exp4,10,18,0.130956,0.0625,1,1,ok
yue_ge,exp4,10,19,0.131325,0.0625,1,1,ok
yue_ge,exp4,10,20,0.142029,0.0625,1,1,ok
yue_ge,exp4,10,21,0.131893,0.0625,1,1,ok
yue_ge,exp4,10,22,0.131493,0.0625,1,1,ok
yue_ge,exp4,10,23,0.131802,0.0625,1,1,ok
yue_ge,exp4,10,24,0.130089,0.0625,1,1,ok
yue_ge,exp4,10,25,0.130120,0.0625,1,1,ok
yue_ge,exp4,10,26,0.129117,0.0625,1,1,ok
yue_ge,exp4,10,27,0.129755,0.0625,1,1,ok
yue_ge,exp4,10,28,0.140731,0.0625,1,1,ok
yue_ge,exp4,10,29,0.130192,0.0625,1,1,ok
yue_ge,exp4,10,30,0.129792,0.0625,1,1,ok
yue_ge,exp4,25,1,0.272778,0.0625,1,1,ok
yue_ge,exp4,25,2,0.262443,0.0625,1,1,ok
yue_ge,exp4,25,3,0.276728,0.0625,1,1,ok
yue_ge,exp4,25,4,0.263543,0.0625,1,1,ok
yue_ge,exp4,25,5,0.274629,0.0625,1,1,ok
yue_ge,exp4,25,6,0.262589,0.0625,1,1,ok
yue_ge,exp4,25,7,0.264897,0.0625,1,1,ok
yue_ge,exp4,25,8,0.261972,0.0625,1,1,ok
yue_ge,exp4,25,9,0.273030,0.0625,1,1,ok
yue_ge,exp4,25,10,0.261291,0.0625,1,1,ok
yue_ge,exp4,25,11,0.262382,0.0625,1,1,ok
yue_ge,exp4,25,12,0.264176,0.0625,1,1,ok
yue_ge,exp4,25,13,0.273521,0.0625,1,1,ok
yue_ge,exp4,25,14,0.263718,0.0625,1,1,ok
yue_ge,exp4,25,15,0.263143,0.0625,1,1,ok
yue_ge,exp4,25,16,0.280589,0.0625,1,1,ok
yue_ge,exp4,25,17,0.265566,0.0625,1,1,ok
yue_ge,exp4,25,18,0.274652,0.0625,1,1,ok
yue_ge,exp4,25,19,0.263084,0.0625,1,1,ok
yue_ge,exp4,25,20,0.275664,0.0625,1,1,ok
yue_ge,exp4,25,21,0.261329,0.0625,1,1,ok
yue_ge,exp4,25,22,0.260330,0.0625,1,1,ok
yue_ge,exp4,25,23,0.261846,0.0625,1,1,ok
yue_ge,exp4,25,24,0.277009,0.0625,1,1,ok
yue_ge,exp4,25,25,0.266635,0.0625,1,1,ok
yue_ge,exp4,25,26,0.264455,0.0625,1,1,ok
yue_ge,exp4,25,27,0.275655,0.0625,1,1,ok
yue_ge,exp4,25,28,0.265000,0.0625,1,1,ok
yue_ge,exp4,25,29,0.264008,0.0625,1,1,ok
yue_ge,exp4,25,30,0.264056,0.0625,1,1,ok
yue_ge,exp4,50,1,0.489853,0.0625,1,1,ok
yue_ge,exp4,50,2,0.498214,0.0625,1,1,ok
yue_ge,exp4,50,3,0.490445,0.0625,1,1,ok
yue_ge,exp4,50,4,0.499760,0.0625,1,1,ok
yue_ge,exp4,50,5,0.497141,0.0625,1,1,ok
yue_ge,exp4,50,6,0.496904,0.0625,1,1,ok
yue_ge,exp4,50,7,0.487108,0.0625,1,1,ok
yue_ge,exp4,50,8,0.496672,0.0625,1,1,ok
yue_ge,exp4,50,9,0.487104,0.0625,1,1,ok
yue_ge,exp4,50,10,0.501754,0.0625,1,1,ok
yue_ge,exp4,50,11,0.487398,0.0625,1,1,ok
yue_ge,exp4,50,12,0.494923,0.0625,1,1,ok
yue_ge,exp4,50,13,0.499345,0.0625,1,1,ok
yue_ge,exp4,50,14,0.498662,0.0625,1,1,ok
yue_ge,exp4,50,15,0.490566,0.0625,1,1,ok
yue_ge,exp4,50,16,0.501902,0.0625,1,1,ok
yue_ge,exp4,50,17,0.495560,0.0625,1,1,ok
yue_ge,exp4,50,18,0.496696,0.0625,1,1,ok
yue_ge,exp4,50,19,0.483911,0.0625,1,1,ok
yue_ge,exp4,50,20,0.498328,0.0625,1,1,ok
yue_ge,exp4,50,21,0.498062,0.0625,1,1,ok
yue_ge,exp4,50,22,0.501385,0.0625,1,1,ok
yue_ge,exp4,50,23,0.488223,0.0625,1,1,ok
yue_ge,exp4,50,24,0.499717,0.0625,1,1,ok
yue_ge,exp4,50,25,0.488716,0.0625,1,1,ok
yue_ge,exp4,50,26,0.497691,0.0625,1,1,ok
yue_ge,exp4,50,27,0.489284,0.0625,1,1,ok
yue_ge,exp4,50,28,0.511238,0.0625,1,1,ok
yue_ge,exp4,50,29,0.496017,0.0625,1,1,ok
yue_ge,exp4,50,30,0.500786,0.0625,1,1,ok
yue_ge,exp4,100,1,0.932619,0.0625,1,1,ok
yue_ge,exp4,100,2,0.943944,0.0625,1,1,ok
yue_ge,exp4,100,3,0.951606,0.0625,1,1,ok
yue_ge,exp4,100,4,0.948723,0.0625,1,1,ok
yue_ge,exp4,100,5,0.951473,0.0625,1,1,ok
yue_ge,exp4,100,6,0.945947,0.0625,1,1,ok
yue_ge,exp4,100,7,0.954783,0.0625,1,1,ok
yue_ge,exp4,100,8,0.940713,0.0625,1,1,ok
yue_ge,exp4,100,9,0.948833,0.0625,1,1,ok
yue_ge,exp4,100,10,0.947912,0.0625,1,1,ok
yue_ge,exp4,100,11,0.946641,0.0625,1,1,ok
yue_ge,exp4,100,12,0.950693,0.0625,1,1,ok
yue_ge,exp4,100,13,0.948237,0.0625,1,1,ok
yue_ge,exp4,100,14,0.940991,0.0625,1,1,ok
yue_ge,exp4,100,15,0.937535,0.0625,1,1,ok
yue_ge,exp4,100,16,0.949024,0.0625,1,1,ok
yue_ge,exp4,100,17,0.937869,0.0625,1,1,ok
yue_ge,exp4,100,18,0.941762,0.0625,1,1,ok
yue_ge,exp4,100,19,0.946482,0.0625,1,1,ok
yue_ge,exp4,100,20,0.940893,0.0625,1,1,ok
yue_ge,exp4,100,21,0.949614,0.0625,1,1,ok
yue_ge,exp4,100,22,0.951491,0.0625,1,1,ok
yue_ge,exp4,100,23,0.943767,0.0625,1,1,ok
yue_ge,exp4,100,24,0.956812,0.0625,1,1,ok
yue_ge,exp4,100,25,0.945540,0.0625,1,1,ok
yue_ge,exp4,100,26,0.944308,0.0625,1,1,ok
yue_ge,exp4,100,27,0.943617,0.0625,1,1,ok
yue_ge,exp4,100,28,0.952261,0.0625,1,1,ok
yue_ge,exp4,100,29,0.945004,0.0625,1,1,ok
yue_ge,exp4,100,30,0.946651,0.0625,1,1,ok
yue_ge,exp4,250,1,2.291283,0.0625,1,1,ok
yue_ge,exp4,250,2,2.297006,0.0625,1,1,ok
yue_ge,exp4,250,3,2.304890,0.0625,1,1,ok
yue_ge,exp4,250,4,2.317104,0.0625,1,1,ok
yue_ge,exp4,250,5,2.299367,0.0625,1,1,ok
yue_ge,exp4,250,6,2.300227,0.0625,1,1,ok
yue_ge,exp4,250,7,2.319499,0.0625,1,1,ok
yue_ge,exp4,250,8,2.284718,0.0625,1,1,ok
yue_ge,exp4,250,9,2.331535,0.0625,1,1,ok
yue_ge,exp4,250,10,2.313852,0.0625,1,1,ok
yue_ge,exp4,250,11,2.289516,0.0625,1,1,ok
yue_ge,exp4,250,12,2.304102,0.0625,1,1,ok
yue_ge,exp4,250,13,2.301345,0.0625,1,1,ok
yue_ge,exp4,250,14,2.288477,0.0625,1,1,ok
yue_ge,exp4,250,15,2.299486,0.0625,1,1,ok
yue_ge,exp4,250,16,2.284354,0.0625,1,1,ok
yue_ge,exp4,250,17,2.296584,0.0625,1,1,ok
yue_ge,exp4,250,18,2.299663,0.0625,1,1,ok
yue_ge,exp4,250,19,2.278899,0.0625,1,1,ok
yue_ge,exp4,250,20,2.290393,0.0625,1,1,ok
yue_ge,exp4,250,21,2.316769,0.0625,1,1,ok
yue_ge,exp4,250,22,2.313551,0.0625,1,1,ok
yue_ge,exp4,250,23,2.306723,0.0625,1,1,ok
yue_ge,exp4,250,24,2.317773,0.0625,1,1,ok
yue_ge,exp4,250,25,2.292814,0.0625,1,1,ok
yue_ge,exp4,250,26,2.299535,0.0625,1,1,ok
yue_ge,exp4,250,27,2.290586,0.0625,1,1,ok
yue_ge,exp4,250,28,2.315250,0.0625,1,1,ok
yue_ge,exp4,250,29,2.299668,0.0625,1,1,ok
yue_ge,exp4,250,30,2.295698,0.0625,1,1,ok
yue_ge,exp4,500,1,4.557356,0.0625,1,1,ok
yue_ge,exp4,500,2,4.535324,0.0625,1,1,ok
yue_ge,exp4,500,3,4.547053,0.0625,1,1,ok
yue_ge,exp4,500,4,4.547496,0.0625,1,1,ok
yue_ge,exp4,500,5,4.552799,0.0625,1,1,ok
yue_ge,exp4,500,6,4.536444,0.0625,1,1,ok
yue_ge,exp4,500,7,4.571157,0.0625,1,1,ok
yue_ge,exp4,500,8,4.644163,0.0625,1,1,ok
yue_ge,exp4,500,9,4.619078,0.0625,1,1,ok
yue_ge,exp4,500,10,4.537842,0.0625,1,1,ok
