variable_value,primary_mean,primary_ci95,usable_recovered_mean,usable_recovered_ci95,tampered_localised_mean,tampered_localised_ci95,latency_ms_mean,latency_ms_ci95,n_runs
1,20000.0,0.0,0.0,0.0,0.0,0.0,178.783885,0.246206,10
2,20000.0,0.0,0.0,0.0,0.0,0.0,178.978351,0.33526,10
5,20000.0,0.0,0.0,0.0,0.0,0.0,178.740585,0.190348,10
10,20000.0,0.0,0.0,0.0,0.0,0.0,179.202482,0.571536,10
20,20000.0,0.0,0.0,0.0,0.0,0.0,179.221527,0.283183,10
50,20000.0,0.0,0.0,0.0,0.0,0.0,178.645355,0.399136,10
100,20000.0,0.0,0.0,0.0,0.0,0.0,178.813981,0.446715,10
200,20000.0,0.0,0.0,0.0,0.0,0.0,179.145396,0.319799,10
500,20000.0,0.0,0.0,0.0,0.0,0.0,179.509805,0.271041,10
1000,20000.0,0.0,0.0,0.0,0.0,0.0,179.997049,0.404302,10
