scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,secondary_metric_2,secondary_metric_3,status
yue_ge,exp5,100,1,39.887616,100,39728,2.320446,ok
yue_ge,exp5,100,2,39.597479,100,39312,2.300772,ok
yue_ge,exp5,100,3,41.218750,100,40608,2.814794,ok
yue_ge,exp5,100,4,41.944884,100,39728,5.129918,ok
yue_ge,exp5,100,5,42.112626,100,39936,5.261228,ok
yue_ge,exp5,100,6,42.049845,100,39832,5.310765,ok
yue_ge,exp5,100,7,40.385768,100,38976,4.413091,ok
yue_ge,exp5,100,8,41.619113,100,40144,4.197121,ok
yue_ge,exp5,100,9,39.399878,100,38480,3.877776,ok
yue_ge,exp5,100,10,40.362332,100,39312,3.879946,ok
yue_ge,exp5,500,1,172.208580,500,175632,14.172239,ok
yue_ge,exp5,500,2,173.414614,500,174720,19.841663,ok
yue_ge,exp5,500,3,176.795912,500,176392,21.703269,ok
yue_ge,exp5,500,4,168.151559,500,174536,10.856022,ok
yue_ge,exp5,500,5,172.444570,500,172184,22.297083,ok
yue_ge,exp5,500,6,172.616748,500,171616,22.936173,ok
yue_ge,exp5,500,7,162.927334,500,170816,11.228746,ok
yue_ge,exp5,500,8,172.633740,500,176672,13.83834,ok
yue_ge,exp5,500,9,173.764075,500,177008,12.342978,ok
yue_ge,exp5,500,10,174.839833,500,174480,17.883509,ok
yue_ge,exp5,1000,1,327.977543,1000,336440,33.603524,ok
yue_ge,exp5,1000,2,324.910197,1000,339992,23.386832,ok
yue_ge,exp5,1000,3,338.908583,1000,341704,40.713386,ok
yue_ge,exp5,1000,4,337.119134,1000,340520,41.222872,ok
yue_ge,exp5,1000,5,334.031426,1000,342456,32.127342,ok
yue_ge,exp5,1000,6,340.921327,1000,344840,40.117928,ok
yue_ge,exp5,1000,7,350.343692,1000,344032,50.624344,ok
yue_ge,exp5,1000,8,343.817807,1000,340184,50.285715,ok
yue_ge,exp5,1000,9,343.088155,1000,340080,49.746742,ok
yue_ge,exp5,1000,10,339.856150,1000,336856,49.213998,ok
yue_ge,exp5,5000,1,1555.588997,5000,1614712,176.117768,ok
yue_ge,exp5,5000,2,1520.767656,5000,1588496,166.230677,ok
yue_ge,exp5,5000,3,1516.275986,5000,1589744,166.008934,ok
yue_ge,exp5,5000,4,1531.698055,5000,1612672,150.065184,ok
yue_ge,exp5,5000,5,1524.131617,5000,1617496,135.232372,ok
yue_ge,exp5,5000,6,1591.481185,5000,1640128,181.469845,ok
yue_ge,exp5,5000,7,1602.211524,5000,1625440,214.427141,ok
yue_ge,exp5,5000,8,1574.790021,5000,1614000,199.672623,ok
yue_ge,exp5,5000,9,1563.364365,5000,1626968,164.769718,ok
yue_ge,exp5,5000,10,1596.588307,5000,1625280,199.854779,ok
yue_ge,exp5,10000,1,3124.743539,10000,3218576,383.657352,ok
yue_ge,exp5,10000,2,3091.434338,10000,3198072,356.348843,ok
yue_ge,exp5,10000,3,3091.511314,10000,3198440,373.480825,ok
yue_ge,exp5,10000,4,3023.777681,10000,3177416,311.151785,ok
yue_ge,exp5,10000,5,2999.820157,10000,3198592,252.744599,ok
yue_ge,exp5,10000,6,2984.009007,10000,3184192,265.027627,ok
yue_ge,exp5,10000,7,3000.088854,10000,3198344,252.384614,ok
yue_ge,exp5,10000,8,3051.217346,10000,3191208,319.899715,ok
yue_ge,exp5,10000,9,3036.871147,10000,3200496,292.601346,ok
yue_ge,exp5,10000,10,3083.778267,10000,3197896,362.914393,ok
yue_ge,exp5,50000,1,14819.188149,50000,15731016,1555.550966,ok
yue_ge,exp5,50000,2,15064.932718,50000,15731272,1873.991007,ok
yue_ge,exp5,50000,3,14923.281494,50000,15719264,1749.989976,ok
yue_ge,exp5,50000,4,14953.267174,50000,15720712,1843.024631,ok
yue_ge,exp5,50000,5,14927.467606,50000,15718392,1740.842673,ok
yue_ge,exp5,50000,6,15024.931080,50000,15718360,1902.871257,ok
yue_ge,exp5,50000,7,14918.212179,50000,15725616,1741.223534,ok
yue_ge,exp5,50000,8,14721.148017,50000,15692904,1503.283209,ok
yue_ge,exp5,50000,9,14825.912822,50000,15725696,1652.060438,ok
yue_ge,exp5,50000,10,14768.704302,50000,15727152,1575.246381,ok
yue_ge,exp5,100000,1,29776.122773,100000,31343464,3614.9564,ok
yue_ge,exp5,100000,2,29499.398986,100000,31338632,3153.458538,ok
yue_ge,exp5,100000,3,29530.940343,100000,31341416,3278.959642,ok
yue_ge,exp5,100000,4,29179.466155,100000,31336416,2977.830802,ok
yue_ge,exp5,100000,5,29400.659559,100000,31344080,3113.772703,ok
yue_ge,exp5,100000,6,29303.471013,100000,31341416,3078.156192,ok
yue_ge,exp5,100000,7,29361.889463,100000,31329176,3059.941862,ok
yue_ge,exp5,100000,8,29064.654134,100000,31334320,2636.386649,ok
yue_ge,exp5,100000,9,29518.050181,100000,31342456,3241.320189,ok
yue_ge,exp5,100000,10,29261.875195,100000,31344840,2863.169339,ok
